STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,C_MSA,SQ_FEET,F_SQ_FT,L_NUM_BM,F_BKMOB,PUB_FIPS,CNTYFIPS,YR_SUB,STATSTRU,STATNAME,STATADDR
AK,AK0016,002,AK0016-002,CORDOVA PUBLIC LIBRARY,622 FIRST STREET,CORDOVA,99574,1210,VALDEZ-CORDOVA,9074246667,CE,NO,2800, 0,0, 0,02,261,2006,00,00,00
AK,AK0017,003,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,0769,PR WALES-OUTER KE,9078263281,CE,NO,1800, 0,0, 0,02,201,2006,00,00,15
AK,AK0018,002,AK0018-002,IPNATCHIAQ LIBRARY,59 MAIN STREET,DEERING,99736,0070,NORTHWEST ARCTIC,9073632136,CE,NO,375, 0,0, 0,02,188,2006,00,00,00
AK,AK0019,002,AK0019-002,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,0229,SE FAIRBANK,9078954102,CE,NO,5000, 0,0, 0,02,240,2006,00,00,07
AK,AK0020,002,AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET W,DILLINGHAM,99576,0870,DILLINGHAM,9078425610,CE,NO,2430, 0,0, 0,02,070,2006,00,00,15
AK,AK0021,002,AK0021-002,EAGLE PUBLIC LIBRARY,2ND & AMUNDSEN,EAGLE,99738,0045,SE FAIRBANK,9075472334,CE,NO,1500, 0,0, 0,02,240,2006,00,00,00
AK,AK0022,002,AK0022-002,ERNEST NYLIN MEMORIAL LIBRARY,101 HILLSIDE STREET,ELIM,99739,0050,NOME,9078903501,CE,NO,1200, 0,0, 0,02,180,2006,00,00,00
AK,AK0023,002,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591020,CE,NO,62100, 0,0, 0,02,090,2006,00,00,00
AK,AK0023,003,AK0023-003,NORTH POLE BRANCH LIBRARY,601 SNOWMAN LANE,NORTH POLE,99705,7716,FAIRBANKS NORTH STAR,9074886101,BR,NO,4200, 0,0, 0,02,090,2006,00,00,00
AK,AK0025,002,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI DRIVE,GALENA,99741,0149,YUKON-KOYUKUK,9076561301,CE,NO,1500, 0,0, 0,02,290,2006,00,00,00
AK,AK0027,002,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,0173,VALDEZ-CORDOVA,9078225427,CE,NO,2000, 0,0, 0,02,261,2006,00,00,00
AK,AK0027,003,AK0027-003,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,0173,VALDEZ-CORDOVA,9078225427,BS,NO,-3, 0,1, 0,02,261,2006,00,00,00
AK,AK0028,002,AK0028-002,GUSTAVUS PUBLIC LIBRARY,MILE .25 AIRPORT ROAD,GUSTAVUS,99826,0279,SKAGWAY-ANGOON,9076972350,CE,NO,3052, 0,0, 0,02,232,2006,00,00,15
AK,AK0029,002,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,1089,HAINES,9077662545,CE,NO,8400, 0,0, 0,02,100,2006,00,00,00
AK,AK0030,002,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,SUNTRANA ROAD,HEALY,99743,0518,DENALI,9076832507,CE,NO,4560, 0,0, 0,02,068,2006,00,00,00
AK,AK0031,002,AK0031-002,HOLLIS PUBLIC LIBRARY,101 LIBRARY ROAD,HOLLIS,99950,0005,PR WALES-OUTER KE,9075307112,CE,NO,2300, 0,0, 0,02,201,2006,00,00,00
AK,AK0032,002,AK0032-002,HOMER PUBLIC LIBRARY,141 WEST PIONEER AVENUE,HOMER,99603,7523,KENAI PENINSULA,9072353180,CE,NO,3500, 0,0, 0,02,122,2006,00,00,00
AK,AK0033,002,AK0033-002,HOPE/SUNRISE COMMUNITY LIBRARY,18487 A AVENUE,HOPE,99605,0127,KENAI PENINSULA,9077823121,CE,NO,2304, 0,0, 0,02,122,2006,00,00,15
AK,AK0035,002,AK0035-002,DOUGLAS PUBLIC LIBRARY,1016 THIRD STREET,DOUGLAS,99824,5416,JUNEAU,9073642378,BR,NO,8000, 0,0, 0,02,110,2006,00,00,00
AK,AK0035,003,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,"9105 MENDENHALL MALL ROAD, #134",JUNEAU,99801,7156,JUNEAU,9077890125,BR,NO,7160, 0,0, 0,02,110,2006,00,00,00
AK,AK0035,004,AK0035-004,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,1361,JUNEAU,9075865324,CE,NO,17000, 0,0, 0,02,110,2006,00,00,00
AK,AK0037,002,AK0037-002,KASILOF PUBLIC LIBRARY,MILE 110 STERLING HIGHWAY,KASILOF,99610,0176,KENAI PENINSULA,9072521120,CE,NO,2553, 0,0, 0,02,122,2006,00,00,00
AK,AK0038,002,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,CE,NO,10000, 0,0, 0,02,122,2006,00,00,00
AK,AK0039,002,AK0039-002,KETCHIKAN PUBLIC LIBRARY,629 DOCK STREET,KETCHIKAN,99901,6589,KETCHIKAN GATEWAY,9072253331,CE,NO,6100, 0,0, 0,02,130,2006,00,00,00
AK,AK0040,002,AK0040-002,A. HOLMES JOHNSON MEMORIAL LIBRARY,319 LOWER MILL BAY ROAD,KODIAK,99615,7341,KODIAK ISLAND,9074868686,CE,NO,9202, 0,0, 0,02,150,2006,00,00,00
AK,AK0041,002,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,0297,NORTHWEST ARCTIC,9074422410,CE,NO,1700, 0,0, 0,02,188,2006,00,00,00
AK,AK0041,003,AK0041-003,SELAWIK DAVIS RAMOTH COMMUNITY LIBRARY,SELAWIK HIGH SCHOOL BUILDING,SELAWIK,99770,0119,NORTHWEST ARCTIC,9074842142,BR,NO,2000, 0,0, 0,02,188,2006,00,06,00
AK,AK0044,002,AK0044-002,MCGRATH COMMUNITY SCHOOL LIBRARY,CHINANA AVENUE,MCGRATH,99627,0249,YUKON-KOYUKUK,9075243843,CE,NO,1650, 0,0, 0,02,290,2006,00,06,00
AK,AK0046,002,AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,0007,PR WALES-OUTER KE,9078866015,CE,NO,2400, 0,0, 0,02,201,2006,00,00,00
AK,AK0047,003,AK0047-003,SOUTH NAKNEK BRANCH LIBRARY,AIRPORT ROAD,SOUTH NAKNEK,99670,0086,BRISTOL BAY,9072466513,BR,NO,840, 0,0, 0,02,060,2006,00,00,15
AK,AK0047,004,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,0147,BRISTOL BAY,9072464465,CE,NO,1456, 0,0, 0,02,060,2006,00,00,00
AK,AK0048,002,AK0048-002,NENANA PUBLIC LIBRARY,201 EAST SECOND STREET,NENANA,99760,0040,YUKON-KOYUKUK,9078325812,CE,NO,2421, 0,0, 0,02,290,2006,00,00,00
AK,AK0051,002,AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,0165,KENAI PENINSULA,9075673333,CE,NO,3200, 0,0, 0,02,122,2006,00,00,00
AK,AK0052,002,AK0052-002,KEGOAYAH KOZGA LIBRARY,223 FRONT STREET,NOME,99762,1168,NOME,9074436627,CE,NO,1800, 0,0, 0,02,180,2006,00,00,00
AK,AK0053,002,AK0053-002,NORTHWAY COMMUNITY/SCHOOL LIBRARY,MILE 5 NORTHWAY ROAD,NORTHWAY,99764,0496,SOUTHEAST FAIRBANKS,9077782239,CE,NO,2562, 0,0, 0,02,240,2006,00,06,00
AK,AK0055,002,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077454690,CE,NO,11400, 0,0, 0,02,170,2006,00,00,00
AK,AK0056,002,AK0056-002,PELICAN PUBLIC LIBRARY,32 HARBOR WAY,PELICAN,99832,0712,SKAGWAY-ANGOON,9077352500,CE,NO,1200, 0,0, 0,02,232,2006,00,00,00
AK,AK0057,002,AK0057-002,PETERSBURG PUBLIC LIBRARY,12 NORDIC DRIVE,PETERSBURG,99833,0549,WRANGELL-PETERSBU,9077723349,CE,NO,2645, 0,0, 0,02,280,2006,00,00,00
AK,AK0058,002,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,0049,KODIAK ISLAND,9074542288,CE,NO,1360, 0,0, 0,02,150,2006,00,00,00
AK,AK0060,002,AK0060-002,RUBY COMMUNITY LIBRARY,10 BOBBY KENNEDY SR. WAY,RUBY,99768,0010,YUKON-KOYUKUK,9074684432,CE,NO,960, 0,0, 0,02,290,2006,00,00,00
AK,AK0064,002,AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,0275,KENAI PENINSULA,9072347856,CE,NO,4460, 0,0, 0,02,122,2006,00,00,00
AK,AK0065,002,AK0065-002,SEWARD COMMUNITY LIBRARY,238 5TH AVENUE,SEWARD,99664,2389,KENAI PENINSULA,9072244008,CE,NO,7900, 0,0, 0,02,122,2006,00,00,00
AK,AK0067,002,AK0067-002,KETTLESON MEMORIAL LIBRARY,320 HARBOR DRIVE,SITKA,99835,7570,SITKA,9077478708,CE,NO,7300, 0,0, 0,02,220,2006,00,00,00
AK,AK0068,002,AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,0394,SKAGWAY-ANGOON,9079832665,CE,NO,3220, 0,0, 0,02,232,2006,00,00,00
AK,AK0069,002,AK0069-002,SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY STREET,SOLDOTNA,99669,7523,KENAI PENINSULA,9072624227,CE,NO,14033, 0,0, 0,02,122,2006,00,00,00
AK,AK0070,002,AK0070-002,SUTTON PUBLIC LIBRARY,11317 NORTH JONESVILLE MINE ROAD,SUTTON,99674,0266,MATANUSKA-SUSITNA,9077454467,CE,NO,2255, 0,0, 0,02,170,2006,00,00,00
AK,AK0071,001,AK0071-001,TAKOTNA COMMUNITY LIBRARY,1 FRONT STREET,TAKOTNA,99675,9999,YUKON-KOYUKUK,9072982229,CE,NO,160, 0,0, 0,02,290,2006,00,14,15
AK,AK0072,002,AK0072-002,TALKEETNA PUBLIC LIBRARY,MILE 13.5 TALKEETNA SPUR ROAD,TALKEETNA,99676,0768,MATANUSKA-SUSITNA,9077332359,CE,NO,2590, 0,0, 0,02,170,2006,00,00,00
AK,AK0073,002,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,7109,YUKON-KOYUKUK,9073667211,CE,NO,2458, 0,0, 0,02,290,2006,00,00,00
AK,AK0074,002,AK0074-002,DERMOTT O'TOOLE MEMORIAL LIBRARY,34 MAIN STREET,TENAKEE SPRINGS,99841,0035,SKAGWAY-ANGOON,9077362488,CE,NO,896, 0,0, 0,02,232,2006,00,00,00
AK,AK0075,002,AK0075-002,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,0227,SE FAIRBANK,9078835623,CE,NO,960, 0,0, 0,02,240,2006,00,00,00
AK,AK0076,002,AK0076-002,TICASUK LIBRARY,28 SOFTBALL FIELD,UNALAKLEET,99684,0028,NOME,9076243531,CE,NO,364, 0,0, 0,02,180,2006,00,00,00
AK,AK0077,002,AK0077-002,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS STREET,VALDEZ,99686,0609,VALDEZ-CORDOVA,9078354632,CE,NO,15000, 0,0, 0,02,261,2006,00,00,00
AK,AK0078,002,AK0078-002,WASILLA PUBLIC LIBRARY,391 NORTH MAIN STREET,WASILLA,99654,7085,MATANUSKA-SUSITNA,9073765913,CE,NO,7687, 0,0, 0,02,170,2006,00,00,00
AK,AK0080,002,AK0080-002,WILLOW PUBLIC LIBRARY,MILE 69.5 PARKS HIGHWAY,WILLOW,99688,0129,MATANUSKA-SUSITNA,9074956424,CE,NO,4111, 0,0, 0,02,170,2006,00,00,00
AK,AK0081,002,AK0081-002,IRENE INGLE PUBLIC LIBRARY,124 SECOND AVENUE,WRANGELL,99929,0679,WRANGELL-PETERSBU,9078743535,CE,NO,5930, 0,0, 0,02,280,2006,00,00,00
AK,AK0082,002,AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,1 KILBUCK ROAD,AKIAK,99552,0237,BETHEL,9077654631,CE,NO,2500, 0,0, 0,02,050,2006,00,00,00
AK,AK0085,004,AK0085-004,KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573,9704,VALDEZ-CORDOVA,9078223015,CE,NO,1440, 0,0, 0,02,261,2006,00,00,00
AK,AK0087,002,AK0087-002,KOYUK PUBLIC LIBRARY,SECOND AVENUE,KOYUK,99753,0069,NOME,9079633441,CE,NO,-1,20,0, 0,02,180,2006,08,00,00
AK,AK0091,002,AK0091-002,TULUKSAK SCHOOL/COMMUNITY LIBRARY,1 MAIN STREET,TULUKSAK,99679,0115,BETHEL,9076955636,CE,NO,1495, 0,0, 0,02,050,2006,00,00,07
AK,AK0092,004,AK0092-004,NAQIAKSRAT LIBRARY,ROCKY ROAD & FISH RIVER ROAD,WHITE MOUNTAIN,99784,0130,NOME,9076383411,CE,NO,562, 0,0, 0,02,180,2006,00,00,00
AK,AK0094,003,AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,567 MAIN STREET,WAINWRIGHT,99782,0010,NORTH SLOPE,9077632541,BR,NO,2225, 0,0, 0,02,185,2006,00,00,00
AK,AK0094,004,AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,1837 TIKIGAQ AVENUE,POINT HOPE,99766,0148,NORTH SLOPE,9073682662,BR,NO,2849, 0,0, 0,02,185,2006,00,00,00
AK,AK0094,005,AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,114 ILLINOIS AVENUE,ANAKTUVUK PASS,99721,1029,NORTH SLOPE,9076613226,BR,NO,1230, 0,0, 0,02,185,2006,00,00,00
AK,AK0094,006,AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,4001 KIPPI STREET,ATQASUK,99791,9999,NORTH SLOPE,9076336315,BR,NO,800, 0,0, 0,02,185,2006,00,00,00
AK,AK0094,007,AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,2001 BARTER AVENUE,KAKTOVIK,99747,0020,NORTH SLOPE,9076406626,BR,NO,1152, 0,0, 0,02,185,2006,00,00,00
AK,AK0094,008,AK0094-008,NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY,3310  3RD AVENUE,NUIQSUT,99789,0167,NORTH SLOPE,9074806712,BR,NO,1305, 0,0, 0,02,185,2006,00,00,00
AK,AK0094,009,AK0094-009,KALI SCHOOL/COMMUNITY LIBRARY,1029 QASIGIALIK STREET,POINT LAY,99759,0077,NORTH SLOPE,9078332311,BR,NO,888, 0,0, 0,02,185,2006,00,00,00
AK,AK0094,010,AK0094-010,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,BARROW,99723,0749,NORTH SLOPE,9078521720,CE,NO,7000, 0,0, 0,02,185,2006,00,00,00
AK,AK0095,002,AK0095-002,AKIACHAK SCHOOL/COMMUNITY LIBRARY,1 MAIN STREET,AKIACHAK,99551,0100,BETHEL,9078254630,CE,NO,1800, 0,0, 0,02,050,2006,00,00,15
AK,AK0097,002,AK0097-002,ESTHER GREENWALD LIBRARY,366 GARTEENI HIGHWAY,HOONAH,99829,0157,SKAGWAY-ANGOON,9079453611,CE,NO,4184, 0,0, 0,02,232,2006,00,00,00
AK,AK0099,002,AK0099-002,MOOSE PASS PUBLIC LIBRARY,200 DEPOT ROAD,MOOSE PASS,99631,0154,KENAI PENINSULA,9072883111,CE,NO,360, 0,0, 0,02,122,2006,00,00,00
AK,AK0100,001,AK0100-001,NIKOLAI COMMUNITY/SCHOOL LIBRARY,TOP OF THE KUSKOKWIM SCHOOL BUILDIN,NIKOLAI,99691,0090,YUKON-KOYUKUK,9072932427,CE,NO,1640, 0,0, 0,02,290,2006,00,00,00
AK,AK0101,002,AK0101-002,SAND POINT COMMUNITY/SCHOOL LIBRARY,SAND POINT SCHOOL BUILDING,SAND POINT,99661,0269,ALEUTIANS EAST,9073832393,CE,NO,1950, 0,0, 0,02,013,2006,00,00,00
AK,AK0103,002,AK0103-002,TRAPPER CREEK PUBLIC LIBRARY,MILE 115 PARKS HIGHWAY,TRAPPER CREEK,99683,0388,MATANUSKA-SUSITNA,9077331546,CE,NO,849, 0,0, 0,02,170,2006,00,14,00
AK,AK0104,002,AK0104-002,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,1 HUSKY WAY,HOLY CROSS,99602,0210,YUKON-KOYUKUK,9074767131,CE,NO,1450, 0,0, 0,02,290,2006,00,00,15
AK,AK0109,002,AK0109-002,RUSSIAN MISSION COMMUNITY/SCHOOL LIBRARY,2 SCHOOL DRIVE,RUSSIAN MISSION,99657,0049,WADE HAMPTON,9075845111,CE,NO,864, 0,0, 0,02,270,2006,00,00,15
AK,AK0112,001,AK0112-001,FALSE PASS PUBLIC LIBRARY,182 UNIMAK DRIVE,FALSE PASS,99583,0015,ALEUTIANS EAST,9075482233,CE,NO,2000, 0,0, 0,02,013,2006,00,00,00
AK,AK0113,002,AK0113-002,OUZINKIE TRIBAL MEDIA CENTER,130 THIRD STREET,OUZINKIE,99644,0130,KODIAK ISLAND,9076802323,CE,NO,600, 0,0, 0,02,150,2006,00,00,00
AK,AK0115,002,AK0115-002,UNALASKA PUBLIC LIBRARY,73 ELEANOR DRIVE,UNALASKA,99685,1370,ALEUTIANS WEST,9075815060,CE,NO,9400, 0,0, 0,02,016,2006,00,00,00
AK,AK0116,001,AK0116-001,ANIAK PUBLIC LIBRARY,270 RIVERFRONT DRIVE,ANIAK,99557,0270,BETHEL,9076754435,CE,NO,400, 0,0, 0,02,050,2006,00,00,00
AK,AK0117,001,AK0117-001,HYDER PUBLIC LIBRARY,50 MAIN STREET,HYDER,99923,0050,PR WALES-OUTER,2506369148,CE,NO,1200, 0,0, 0,02,201,2006,00,00,15
AK,AK0120,001,AK0120-001,INNOKO RIVER COMMUNITY/SCHOOL LIBRARY,101 PINE STREET,SHAGELUK,99665,0049,YUKON-KOYUKUK,9074738233,CE,NO,512, 0,0, 0,02,290,2006,00,00,00
AK,AK0121,001,AK0121-001,BLACKWELL COMMUNITY/SCHOOL LIBRARY,1 AIRPORT ROAD,ANVIK,99558,0090,YUKON-KOYUKUK,9076636348,CE,NO,560, 0,0, 0,02,290,2006,00,00,15
AK,AK0122,001,AK0122-001,GRAYLING COMMUNITY/SCHOOL LIBRARY,DAVID-LOUIS SCHOOL BUILDING,GRAYLING,99590,0090,YUKON-KOYUKUK,9074535135,CE,NO,576, 0,0, 0,02,290,2006,00,00,00
AK,AK0123,001,AK0123-001,KLAWOCK PUBLIC LIBRARY,615 NORTH PARK STREET,KLAWOCK,99925,0469,PR WALES-OUTER,9077552452,CE,NO,1000, 0,0, 0,02,201,2006,00,00,00
AK,AK0124,001,AK0124-001,LAKE MINCHUMINA COMMUNITY LIBRARY,123 AIRPORT WAY,LAKE MINCHUMINA,99757,0050,YUKON-KOYUKUK,9076743211,CE,NO,1100, 0,0, 0,02,290,2006,00,00,00
AK,AK0126,001,AK0126-001,IGIUGIG TRIBAL LIBRARY,NO. 1 AIRPORT ROAD,IGIUGIG,99613,4008,LAKE AND PENINSULA,9075333211,CE,NO,440, 0,0, 0,02,164,2006,00,00,00
AK,AK0127,001,AK0127-001,COFFMAN COVE COMMUNITY LIBRARY,106 DENALI ALLEY,COFFMAN COVE,99918,0135,PR WALES-OUTER KE,9073292080,CE,NO,1152, 0,0, 0,02,201,2006,00,00,00
AK,AK0129,001,AK0129-001,MOUNTAIN VILLAGE PUBLIC LIBRARY,1 SAINT MARY'S HIGHWAY,MOUNTAIN VILLAGE,99632,0085,WADE HAMPTON,9075912970,CE,NO,137, 0,0, 0,02,270,2006,00,00,15
AK,AK0130,001,AK0130-001,THORNE BAY PUBLIC LIBRARY,1218 B SHORELINE DRIVE,THORNE BAY,99919,0109,PR WALES-OUTER KE,9078283303,CE,NO,1650, 0,0, 0,02,201,2006,00,00,00
AK,AK0133,001,AK0133-001,PILOT POINT TRIBAL LIBRARY,1100 MAIN STREET,PILOT POINT,99649,0448,LAKE AND PENINSULA,9077972273,CE,NO,768, 0,0, 0,02,164,2006,00,00,00
AK,AK0134,001,AK0134,WHALE PASS COMMUNITY LIBRARY,BEACH ROAD LOT 3 BLOCK 14,WHALE PASS,99950,0999,PR WALES-OUTER KE,9078465226,CE,NO,1500, 0,0, 0,02,201,2006,02,00,00
AL,AL0001,003,100-000,CARL ELLIOTT REGIONAL LIBRARY,98 EAST 18TH STREET,JASPER,35501,5491,WALKER,2052212568,CE,NC,20000, 0,0, 0,01,127,2006,00,00,00
AL,AL0002,002,100-001,ARLEY PUBLIC LIBRARY,6788 COUNTY ROAD 41,ARLEY,35541,0146,WINSTON,2053870129,CE,NO,500, 0,0, 0,01,133,2006,00,00,15
AL,AL0003,002,100-002,CORDOVA PUBLIC LIBRARY,130 MAIN STREET,CORDOVA,35550,1414,WALKER,2054839578,CE,NC,1836, 0,0, 0,01,127,2006,00,00,00
AL,AL0004,002,100-003,DORA PUBLIC LIBRARY,1485 SHARON BLVD,DORA,35062,0700,WALKER,2056483211,CE,NC,420, 0,0, 0,01,127,2006,00,00,00
AL,AL0005,002,100-004,DOUBLE SPRINGS PUBLIC LIBRARY,BLAKE DRIVE,DOUBLE SPRINGS,35553,0555,WINSTON,2054892412,CE,NO,1500, 0,0, 0,01,133,2006,00,00,00
AL,AL0006,002,100-005,HALEYVILLE PUBLIC LIBRARY,913 20TH STREET,HALEYVILLE,35565,1323,WINSTON,2054867450,CE,NO,3600, 0,0, 0,01,133,2006,00,00,00
AL,AL0007,002,100-006,JASPER PUBLIC LIBRARY,98 EAST 18TH STREET,JASPER,35501,5491,WALKER,2052218512,CE,NC,20000, 0,0, 0,01,127,2006,00,00,00
AL,AL0009,002,100-008,SUMITON PUBLIC LIBRARY,STATE STREET,SUMITON,35148,0010,WALKER,2056487451,CE,NC,2500, 0,0, 0,01,127,2006,00,00,00
AL,AL0010,002,101-000,CHEAHA REGIONAL LIBRARY,935 COLEMAN STREET,HEFLIN,36264,1313,CLEBURNE,2564637125,CE,NO,2500, 0,0, 0,01,029,2006,00,00,00
AL,AL0010,006,AL0010-006,CHEAHA REGIONAL BOOKMOBILE,935 COLEMAN STREET,HEFLIN,36264,1313,CLEBURNE,2564637125,BS,NO,-3, 0,2, 0,01,029,2006,00,00,00
AL,AL0011,002,101-001,ANNIE L. AWBREY PUBLIC LIBRARY,736 COLLEGE STREET,ROANOKE,36274,1616,RANDOLPH,3348632632,CE,NO,9000, 0,0, 0,01,111,2006,00,00,00
AL,AL0012,002,101-002,ASHLAND CITY PUBLIC LIBRARY,"11 2ND AVENUE, N",ASHLAND,36251,0296,CLAY,2563543427,CE,NO,3000, 0,0, 0,01,027,2006,00,00,15
AL,AL0013,002,999-028,B. B. COMER MEMORIAL LIBRARY,314 NORTH BROADWAY AVENUE,SYLACAUGA,35150,2528,TALLADEGA,2562490961,CE,NO,39000, 0,0, 0,01,121,2006,00,00,00
AL,AL0014,002,101-004,CHEROKEE COUNTY PUBLIC LIBRARY,310 MARY STREET,CENTRE,35960,2026,CHEROKEE,2569275838,CE,NO,6114, 0,0, 0,01,019,2006,00,00,00
AL,AL0015,002,101-005,EARLE A. RAINWATER MEMORIAL LIBRARY,124 NINTH AVENUE SW,CHILDERSBURG,35044,1642,TALLADEGA,2563787239,CE,NO,9000, 0,0, 0,01,121,2006,00,00,00
