LIBID,LIBNAME,ADDRESS,CITY,ZIP1,ZIP2,PHONE,POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,C_RELATN,C_LEGBASE,C_ADMIN,CNTY,POPU_UNDUP,FSCSKEY,STABR,PUB_FIPS,YR,OBEREG,RSTATUS,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,FILLER,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32
230,Delta Community Library,P. O. Box 229,Delta Junction,99737,0229,9078954102,766,1,0,0,0,0.75,0.25,1,38023,8033,0,0,46056,,,,2227,,46056,0,12744,45,291,25,1976,15723,2000,26795,25,693,0,1002,NO,CI,SO,-1,766,AK0019,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
240,Dillingham Public Library,P. O. Box 870,Dillingham,99576,0870,9078425610,2200,1,0,0,0,1,0.75,1.75,68749,8033,0,1659,78441,,,,14813,,78441,468,12000,1175,700,105,1950,8060,947,6576,12,0,1947,851,NO,CI,SO,-1,2200,AK0020,AK,02,95,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 1, 0, 0,, 0, 0, 0, 0, 0, 0, 8, 0
250,Eagle Public Library,P. O. Box 45,Eagle City,99738,0045,9075472334,166,1,0,0,0,0,0,0,500,5910,3228,1717,11355,,,,5269,,10315,0,9710,36,817,28,762,3000,500,5119,0,202,0,312,NO,NP,SO,-1,166,AK0021,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
260,Elim Community Library,P. O. Box 39050,Elim,99739,0050,9078903501,290,1,0,0,0,0.25,0.25,0.5,5000,8033,0,0,13033,,,,2908,,13103,0,5422,78,0,13,480,2285,3,1572,0,0,996,95,NO,CI,SO,-1,290,AK0022,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
270,Fairbanks North Star Boroug,1215 Cowles Street,Fairbanks,99701,4394,9074591020,121838,1,1,0,8.5,10.25,26.38,36.63,2229572,257229,34991,94979,2616771,1451580,397078,1848658,284375,269524,2402557,174897,225096,8542,3174,571,5209,244645,66697,614441,2887,2722,0,15738,NO,MJ,MO,-1,121838,AK0023,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
290,Charles Evans Community Library,P. O. Box 149,Galena,99741,0149,9076561869,709,1,0,0,0,0.25,0,0.25,715,5243,4290,0,10248,,,,1058,,5958,0,12365,0,0,0,480,1158,500,1525,0,139,0,113,NO,SP,SO,-1,709,AK0025,AK,02,95,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0,10, 0
310,Copper Valley Community Library,P. O. Box 173,Glennallen,99588,0173,9078225226,511,1,0,1,0,0.63,0,0.63,0,8033,0,10000,18033,,,,4033,,18033,0,5000,0,500,50,1524,11260,780,17398,0,150,1924,445,NO,NP,MO,-1,511,AK0027,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
320,Gustavus Public Library,P. O. Box 279,Gustavus,99826,0279,9076972350,301,1,0,0,0,0,0,0,5744,8033,0,3400,17177,,,,3688,,13137,0,5485,55,68,43,750,2615,47,4932,0,363,2968,755,NO,NP,SO,-1,301,AK0028,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
330,Haines Borough Public Library,P. O. Box 1089,Haines,99827,1089,9077662545,2489,1,0,0,0,1.5,1,2.5,147102,8033,0,9499,164634,82304,31864,114168,23947,23002,161117,0,15525,502,717,82,2626,46800,5000,47832,419,1624,14474,1423,NO,CO,SO,-1,2489,AK0029,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
340,Tri-Valley Community Library,P. O. Box 400,Healy,99743,0400,9076832507,516,1,0,0,0,1.5,0,1.5,5135,6516,0,9031,20682,,,,5773,,19294,0,17394,530,614,57,2400,4597,450,18429,18,587,11530,851,NO,SP,SO,-1,516,AK0030,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
350,Hollis Public Library,P.O. Box 5,Hollis,99950,0070,9075307112,95,1,0,0,0,0.7,0,0.7,2700,7851,0,2000,12551,,,,7564,,13551,0,12080,335,42,5,1000,5300,1800,10790,0,5,5500,684,NO,NP,SO,-1,95,AK0031,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
360,Homer Public Library,141 W. Pioneer Avenue,Homer,99603,7523,9072353180,9873,1,0,0,1,1,3.5,4.5,191245,8033,0,0,199278,107173,50503,157676,17149,24453,199278,0,27749,253,539,105,2640,69816,6952,80342,352,740,0,838,NO,CI,SO,-1,9873,AK0032,AK,02,95,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 5, 0, 0, 0, 0, 0, 0
380,Hope Community Library,P. O. Box 127,Hope,99605,0127,9077823121,241,1,0,0,0,0.25,0,0.25,0,9623,0,2143,11766,,,,1325,,8027,0,4357,16,37,10,520,1609,61,1263,0,3,467,179,NO,NP,SO,-1,241,AK0033,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
390,Hyder Public Library,P. O. Box 50,Hyder,99923,0050,9076362498,111,1,0,0,0,0.38,0,0.38,5000,8033,0,169,13202,,,,4800,,13135,0,6000,20,115,16,750,960,310,5350,0,11,2554,41,NO,NP,SO,-1,111,AK0034,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
400,Juneau Public Libraries,292 Marine Way,Juneau,99801,1361,9075865324,37568,1,2,0,2.81,5.16,13.25,18.41,1277580,109200,0,0,1386780,538535,302801,841336,111645,408259,1361240,25540,131454,2400,2400,431,6790,399697,24252,350889,7391,8325,152106,6245,NO,CO,MO,-1,37568,AK0035,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
410,Kake Community Library,P. O. Box 450,Kake,99830,0450,9077853731,758,1,0,0,0,0.5,0,0.5,4769,8033,0,507,13309,,,,7604,,13309,0,9022,180,53,43,900,922,20,2196,0,479,1115,206,NO,CI,SO,-1,758,AK0036,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
420,Kasilof Public Library,P. O. Box 176,Kasilof,99610,0176,9072624844,1134,1,0,0,0,0.75,0,0.75,0,5000,0,0,5000,,,,1428,,5000,0,11285,278,150,0,1600,6000,100,10135,0,0,6501,338,NO,SC,SO,-1,1134,AK0037,AK,02,95,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0,10, 0
430,Kenai Community Library,163 Main Street Loop,Kenai,99611,7723,9072834378,13445,1,0,0,0,3,4,7,285261,14325,0,0,299586,134560,29459,164019,39430,96137,299586,0,59632,1352,668,352,3276,88772,25000,96454,898,550,35223,2152,NO,CI,SO,-1,13445,AK0038,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
450,Ketchikan Public Library,629 Dock Street,Ketchikan,99901,6589,9072253331,14923,1,0,0,3,3.65,8,11.65,668843,11533,0,13479,693855,359779,142048,501827,79210,99526,680563,6000,45133,1219,1629,188,3016,186264,11192,161176,627,1395,50199,6522,NO,CI,SO,-1,14923,AK0039,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
470,A. Holmes Johnson Mem Library,319 Lower Mill Bay Rd,Kodiak,99615,7341,9074868686,15575,1,0,0,1,1,6.73,7.73,491630,8033,0,0,499663,273280,111400,384680,49447,65536,499663,0,51487,4416,795,274,3318,142587,3800,84759,247,384,27291,701,NO,CI,SO,-1,15575,AK0040,AK,02,95,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 8, 0
480,Chukchi Library,P. O. Box 297,Kotzebue,99752,0297,9074422410,3004,1,1,0,0,1,3,4,110565,16065,4002,0,130632,57447,11755,69202,41451,19979,130632,0,15665,415,830,115,2620,11000,2268,18190,391,434,270,1000,NO,MJ,MO,-1,3004,AK0041,AK,02,95,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 5, 0, 0, 0, 0
500,Koyukuk Community Library,P. O. Box 29,Koyukuk,99754,0029,9079272245,129,1,0,0,0,0.38,0,0.38,5497,8033,0,0,13530,,,,2149,,13530,0,2863,0,108,27,810,1222,490,1710,0,2,150,84,NO,CI,SO,-1,129,AK0042,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
530,Mcgrath Community Library,P. O. Box 249,Mcgrath,99627,0249,9075243843,518,1,0,0,0,0.31,0.25,0.56,0,8033,0,11928,19961,,,,5236,,18585,0,8426,42,36,33,650,2912,25,2842,0,106,1474,1153,NO,NP,SO,-1,518,AK0044,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
550,Metlakatla Centennial Library,P. O. Box 8,Metlakatla,99926,0008,9078864441,1600,1,0,0,0,0.15,0.35,0.5,9436,7341,0,1996,18773,,,,2067,,17795,310,4131,0,199,15,-1,2297,479,224,29,267,60,130,NO,CI,SO,-1,1600,AK0046,AK,02,95,08,4, 0, 0, 0, 0, 0, 1,11,11, 3, 3, 3,11,11,99,99,99, 1,99,11, 5, 1, 2, 5, 2,, 2, 5, 2, 5, 5, 9,10, 0
560,Martin Monsen Library,P. O. Box 147,Naknek,99633,0147,9072464465,1576,1,2,0,0,1,2,3,105500,24098,0,0,129598,62000,17100,79100,12000,23700,114800,600,20061,75,640,22,4992,5266,260,6390,2,200,3946,276,NO,CO,MO,-1,1576,AK0047,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
570,Nenana Public Library,P. O. Box 40,Nenana,99760,0040,9078325812,508,1,0,0,0,0.7,0.18,0.88,18458,8033,4290,2000,32781,,,,5456,,29499,1787,8162,146,396,27,1456,4000,600,6062,0,55,2261,135,NO,CI,SO,-1,508,AK0048,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
600,Ninilchik Community Library,P. O. Box 39165,Ninilchik,99639,0165,9075673333,1312,1,0,0,0,0.5,0,0.5,0,7123,0,5362,12485,,,,2378,,12485,0,10550,201,294,0,1300,4356,392,11672,0,25,2408,106,NO,NP,SO,-1,1312,AK0051,AK,02,95,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 7, 5, 0, 0, 0, 0, 0, 0
610,Kegoayah Kozga Library,P. O. Box 1168,Nome,99762,1168,9074435133,4184,1,0,0,0,0.81,2.12,2.93,149306,46093,0,0,195399,87677,27288,114965,31823,45324,192112,0,15759,1032,162,84,1970,16380,936,19074,14,434,9446,1870,NO,CI,SO,-1,4184,AK0052,AK,02,95,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 8, 0, 0
620,Northway Community Library,P. O. Box 496,Northway,99764,0496,9077782288,120,1,0,0,0,0.25,0,0.25,0,5364,4290,3000,12654,,,,4297,,9545,0,1201,323,392,20,480,1201,20,715,0,10,517,470,NO,NP,SO,-1,120,AK0053,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
640,Palmer Public Library,655 S. Valley Way,Palmer,99645,6697,9077454690,14384,1,0,0,1,1,2.5,3.5,255557,19033,0,4000,278590,127630,57610,185240,24645,68715,278600,0,40135,100,457,73,2030,29397,7000,78110,325,587,32822,2544,NO,CI,SO,-1,14384,AK0055,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
650,Pelican Public Library,P. O. Box 741,Pelican,99832,0741,9077352500,240,1,0,0,0,0.4,0.1,0.5,12745,8033,0,318,21096,,,,5382,,20893,0,8560,685,301,70,1024,1700,200,2862,0,82,0,308,NO,CI,SO,-1,240,AK0056,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
660,Petersburg Public Library,P. O. Box 549,Petersburg,99833,0549,9077723349,3419,1,0,0,1,1,1.5,2.5,128912,8033,280,6883,144108,80417,20233,100650,25692,16468,142810,0,23793,376,639,100,2200,31000,1500,31834,280,435,10236,1155,NO,CI,SO,-1,3419,AK0057,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
680,Jessie Wakefield Memorial Library,P. O. Box 49,Port Lions,99550,0049,9074542288,264,1,0,0,0,0.35,0,0.35,3100,7487,0,1622,12209,,,,1622,,12209,0,31800,55,194,19,780,2339,204,3805,0,19,1357,152,NO,CI,SO,-1,264,AK0058,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
700,Ruby Community Library,P. O. Box 90,Ruby,99768,0090,9074684426,206,1,0,0,0,0.35,0,0.35,2127,7040,0,0,9167,,,,1527,,9167,0,3325,32,24,20,624,439,13,370,6,44,225,35,NO,CI,SO,-1,206,AK0060,AK,02,95,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 5, 5, 0, 0, 0
720,St. Paul Comm/School Library,P.O. Box 901,St. Paul,99660,0001,9075462221,636,1,0,0,0,0.5,0,0.5,2500,8033,0,2500,13033,,,,5100,,13033,0,12000,0,950,22,1000,400,200,8230,25,25,0,90,NO,SP,SO,-1,636,AK0061,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
750,Seldovia Public Library,P.O. Box D,Seldovia,99663,0189,9072347856,629,1,0,0,0,0,0,0,0,15000,0,587,15587,,,,14571,,14838,0,10800,189,369,16,700,2631,250,4685,0,12,1031,256,NO,NP,SO,-1,629,AK0064,AK,02,95,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0,10, 0
760,Seward Community Library,P. O. Box 537,Seward,99664,1754,9072243646,5753,1,0,0,1,1,2.8,3.8,199725,14033,0,3330,217088,102661,37129,139790,19803,50357,209950,0,24000,910,610,80,2392,47179,2600,43945,200,1178,12711,940,NO,CI,SO,-1,5753,AK0065,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
770,Nellie Weyiouanna Ilisaavik,P.O. Box 51,Shishmaref,99772,0051,9076493011,533,1,0,0,0,0.4,0,0.4,4000,7426,0,0,11426,,,,2800,,11426,0,3400,30,19,25,725,350,20,947,4,4,413,37,NO,CI,SO,-1,533,AK0066,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
780,Kettleson Memorial Library,320 Harbor Dr,Sitka,99835,7570,9077478708,9052,1,0,0,1,1,4.5,5.5,377223,10033,0,18948,406204,178104,81753,259857,71966,74450,406273,0,43559,2378,1323,178,2964,99580,14768,146122,1209,1215,55183,2955,NO,CO,SO,-1,9052,AK0067,AK,02,95,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
