STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,CNTY,ZIP,ZIP4,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,POPU_LSA,POPU_UND,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,OTHPAID,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,STAFFEXP,TOTEXPCO,OTHOPEXP,TOTOPEXP,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEN,ELMATEXP,ELACCEXP,ELMATS,ELSVCACC,INETACC,INETUSE,STFTERMS,GPTERMS,PUB_FIPS,CNTYFIPS,YR_SUB,OBEREG,RSTATUS,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,IMP24,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32,IMP33,IMP34,IMP35,IMP36,IMP37,IMP38,IMP39,IMP40
AK,AK0016,AK0016,CORDOVA PUBLIC LIBRARY,P. O. BOX 1210,CORDOVA,VALDEZ-CORDOVA,99574,1210,9074246665,NO,CI,SO,Y,CI1,2571,2545,1,0,0,0,1,1.75,2.75,90497,7000,0,0,97497,52109,19678,71787,9700,9010,90497,0,20938,972,933,51,1820,26000,382,25791,0,1500,14086,7051,500,5700,36,N,Y,ST,-1,0,02,261,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,30, 0, 0, 0, 8, 8, 0, 0, 0, 0, 0, 0, 0,28,20
AK,AK0017,AK0017,CRAIG PUBLIC LIBRARY,P. O. BOX 769,CRAIG,PR WALES-OUTER KE,99921,0026,9078263281,NO,CI,SO,Y,CI1,2145,2124,1,0,0,0,0.94,0.1,1.04,38353,7000,0,0,45353,,,,2118,,45353,0,10648,428,352,44,1820,1695,594,14226,528,174,4551,846,0,1974,0,N,Y,PE,-1,-1,02,201,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0,20,20
AK,AK0018,AK0018,IPNATCHIAQ LIBRARY,P. O. BOX 36049,DEERING,NORTHWEST ARCTIC,99736,0049,9073632136,NO,CI,SO,Y,CI1,156,154,1,0,0,0,0.4,0,0.4,4068,6600,4217,0,14885,,,,3672,,15149,0,7273,301,97,18,784,1421,3,610,0,5,222,246,0,0,7,N,N,NA,0,0,02,188,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
AK,AK0019,AK0019,DELTA COMMUNITY LIBRARY,P. O. BOX 229 D,DELTA JUNCTION,SE FAIRBANK,99737,0229,9078954102,NO,CI,SO,Y,OTH,884,875,1,0,0,0,0.18,0.13,0.31,10688,7000,0,0,17688,,,,1608,,17670,0,7510,94,353,4,576,4850,250,10471,218,87,2731,383,0,826,0,N,Y,PE,-1,-1,02,240,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0,10, 0, 0, 0, 1, 0, 0, 0, 0,20,20
AK,AK0020,AK0020,DILLINGHAM PUBLIC LIBRARY,P. O. BOX 870,DILLINGHAM,DILLINGHAM,99576,0870,9078425610,NO,CI,SO,Y,CI1,2332,2309,1,0,0,0,0.5,0,0.5,46575,7000,0,391,53966,,,,11101,,49940,1499,12000,400,1000,103,1352,6410,260,4700,574,662,1869,633,0,312,0,N,Y,PE,-1,-1,02,070,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0,18, 0, 0, 0, 0,20,20
AK,AK0021,AK0021,EAGLE PUBLIC LIBRARY,P. O. BOX 45,EAGLE CITY,SE FAIRBANK,99738,0045,9075472334,NO,NP,SO,N,CI1,168,166,1,0,0,0,0,0,0,1000,5400,0,0,6400,,,,3329,,6400,0,12791,81,1196,34,884,3000,300,6872,0,188,1792,10,0,48,0,N,Y,PE,-1,-1,02,240,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0022,AK0022,ELIM COMMUNITY LIBRARY,P. O. BOX 390-50,ELIM,NOME,99739,0050,9078903501,NO,CI,SO,Y,CI1,306,303,1,0,0,0,0.38,0,0.38,5000,7000,4217,11,16228,,,,2966,,14739,0,6400,91,56,18,480,1021,75,1249,0,22,666,650,313,1392,18,N,Y,PE,-1,-1,02,180,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0023,AK0023,FAIRBANKS NORTH STAR BOROUG,1215 COWLES STREET,FAIRBANKS,FAIRBANKS NORTH,99701,4394,9074591020,NO,CO,MO,Y,CO2,123760,122527,1,1,0,8.5,10.25,35.63,45.88,2768548,41672,143951,0,2954171,1683440,536350,2219790,299790,282590,2802170,4193983,238477,7034,4961,486,5200,264973,61138,516570,2489,2864,167290,14034,43225,71730,142,Y,Y,PE,-1,-1,02,090,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0025,AK0025,CHARLES EVANS COMMUNITY LIBRARY,P. O. BOX 149,GALENA,YUKON-KOYUKUK,99741,0149,9076561205,NO,CI,SO,Y,CI1,544,539,1,0,0,0,0.25,0,0.25,10679,5800,4217,4513,25209,,,,4328,,21083,0,13431,60,100,41,540,1050,25,4088,0,320,593,89,200,524,7,N,Y,PE,-1,-1,02,290,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 8, 8, 0, 0, 1, 0, 0, 0, 0,20,20
AK,AK0027,AK0027,COPPER VALLEY COMMUNITY LIBRARY,P. O. BOX 173,GLENNALLEN,VALDEZ-CORDOVA,99588,0173,9078225226,NO,NP,MO,Y,CI2,488,483,1,0,1,0,0.67,0.09,0.76,0,13573,0,20071,33644,,,,6120,,33996,0,13500,302,1070,42,1660,7300,300,18302,0,317,4692,797,0,400,2,N,Y,PE,-1,-1,02,261,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,20,20
AK,AK0028,AK0028,GUSTAVUS PUBLIC LIBRARY,P. O. BOX 279,GUSTAVUS,SKAGWAY-ANGOON,99826,0279,9076972350,NO,NP,SO,Y,OTH,368,364,1,0,0,0,0.25,0,0.25,3691,7000,0,3019,13710,,,,1852,,13708,470000,7498,83,230,38,900,3850,62,6925,4,212,4262,900,877,350,11,N,Y,PE,-1,-1,02,232,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,20,20
AK,AK0029,AK0029,HAINES BOROUGH PUBLIC LIBRARY,P. O. BOX 1089,HAINES,HAINES,99827,1089,9077662545,NO,CO,SO,Y,CO2,2476,2451,1,0,0,0,1.5,1.1,2.6,181735,8052,0,19938,209725,101061,39197,140258,23428,27548,191234,0,19269,1062,1417,112,2563,54000,10000,58764,207,1247,12728,1322,2095,1550,29,Y,Y,PE,-1,-1,02,100,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0030,AK0030,TRI-VALLEY COMMUNITY LIBRARY,P. O. BOX 518,HEALY,DENALI,99743,0400,9076832507,NO,NP,SO,Y,OTH,641,635,1,0,0,0,0.5,0.1,0.6,6414,7000,0,10738,24152,,,,4817,,20555,0,18637,617,592,44,672,2141,90,18046,5,192,11129,769,2508,501,31,N,Y,PE,-1,-1,02,068,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1,18, 0, 0, 0, 0,20,20
AK,AK0031,AK0031,HOLLIS PUBLIC LIBRARY,P. O. BOX 5,HOLLIS,PR WALES-OUTER KE,99950,0070,9075307112,NO,NP,SO,N,OTH,196,194,1,0,0,0,0,0,0,3000,6480,0,700,10180,,,,6481,,10180,0,16740,600,190,1,1200,5700,2800,12220,0,0,5480,2226,0,0,0,N,N,NA,0,0,02,201,1999,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK,AK0032,AK0032,HOMER PUBLIC LIBRARY,141 W. PIONEER AVENUE,HOMER,KENAI PENINSULA,99603,7523,9072353180,NO,CI,SO,Y,CI1,11536,11421,1,0,0,1,1,3.63,4.63,248315,7000,0,0,255315,156728,33170,189898,17594,47823,255315,0,31754,298,858,101,2704,100562,11040,107032,148,334,28605,1743,1900,6700,2,N,Y,PE,-1,-1,02,122,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0,10, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0033,AK0033,HOPE COMMUNITY LIBRARY,P. O. BOX 127,HOPE,KENAI PENINSULA,99605,0127,9077823121,NO,NP,SO,Y,OTH,210,208,1,0,0,0,0.25,0,0.25,0,5640,0,2973,8613,,,,1126,,8632,0,4734,17,19,6,520,576,26,1089,0,6,222,74,0,0,0,N,N,NA,0,0,02,122,1999,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK,AK0035,AK0035,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,JUNEAU,99801,1361,9075865324,NO,CO,MO,Y,CO1,37011,36642,1,2,0,4.69,4.69,15.78,20.47,1427223,73945,84630,0,1585798,681801,320418,1002219,128894,454685,1585798,0,113914,2696,3110,356,7856,427723,22505,270789,6053,7573,118162,8097,57000,148500,31,Y,Y,PE,-1,-1,02,110,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0037,AK0037,KASILOF PUBLIC LIBRARY,P. O. BOX 176,KASILOF,KENAI PENINSULA,99610,0176,9072624844,NO,NP,SO,Y,OTH,1387,1373,1,0,0,0,0.25,0,0.25,0,5000,0,0,5000,,,,1407,,5000,0,4734,220,173,4,1120,5243,98,12021,0,0,3135,59,0,98,0,N,Y,PE,-1,-1,02,122,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0,31,31, 0, 0, 0,10, 0, 0, 0, 1, 0, 0, 0, 0,20,20
AK,AK0038,AK0038,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,KENAI PENINSULA,99611,7793,9072834378,NO,CI,SO,Y,CI1,14384,14241,1,0,0,0,1,4.25,5.25,393173,7000,0,0,400173,188286,41667,229953,54637,106999,391589,0,35573,725,1379,377,3276,94690,1760,106235,452,284,53271,3792,12178,39621,23,N,Y,PE,-1,-1,02,122,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0039,AK0039,KETCHIKAN PUBLIC LIBRARY,629 DOCK STREET,KETCHIKAN,KETCHIKAN GATEWAY,99901,6589,9072253331,NO,CO,SO,Y,CO1,14231,14089,1,0,0,4,4.65,7.83,12.48,789351,32000,0,92492,913843,422536,187348,609884,103032,200916,913832,0,42373,2324,2920,199,2940,224112,9091,173879,740,767,60193,5187,3500,66373,319,Y,Y,PE,-1,-1,02,130,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0040,AK0040,A. HOLMES JOHNSON MEM LIBRARY,319 LOWER MILL BAY RD,KODIAK,KODIAK ISLAND,99615,7341,9074868686,NO,CI,SO,Y,CO2,12982,12853,1,0,0,1,1,6.11,7.11,491693,7000,0,0,498693,278966,56559,335525,72618,90550,498693,0,61588,5233,1524,275,3412,108179,4000,93233,371,369,28528,200,4715,8490,43,Y,Y,PE,-1,-1,02,150,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0041,AK0041,CHUKCHI LIBRARY,P. O. BOX 297,KOTZEBUE,NORTHWEST ARCTIC,99752,0297,9074422410,NO,MJ,MO,Y,CI2,3710,3673,1,1,0,0,2,1,3,50549,14000,4217,41823,110589,76396,9775,86171,20017,7166,113354,0,13703,485,1242,129,2800,18750,5771,10351,63,467,3764,2184,95,5856,9,N,Y,PE,-1,-1,02,188,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0,20,20
AK,AK0044,AK0044,MCGRATH COMMUNITY LIBRARY,P. O. BOX 249,MCGRATH,YUKON-KOYUKUK,99627,0121,9075243843,NO,NP,SO,Y,CI1,441,437,1,0,0,0,0.32,0.3,0.62,5791,7000,4207,4758,21756,,,,4774,,16002,0,11830,91,60,25,1196,3168,52,2888,0,47,1558,1660,1898,1942,63,N,Y,PE,-1,-1,02,290,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0046,AK0046,METLAKATLA CENTENNIAL LIBRARY,P. O. BOX 7,METLAKATLA,PR WALES-OUTER KE,99926,0007,9078866000,NO,NL,SO,Y,CI1,1595,1579,1,0,0,0,0.38,0,0.38,11826,7000,4000,0,22826,,,,1150,,22576,0,9308,2,220,49,2600,1785,1250,3700,0,30,1130,29,0,171,0,N,Y,ST,-1,0,02,201,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0,18, 0, 0, 0, 0,28,20
AK,AK0047,AK0047,MARTIN MONSEN LIBRARY,P. O. BOX 147,NAKNEK,BRISTOL BAY,99633,0147,9072464465,NO,CO,MO,Y,CO2,1297,1284,1,2,0,0,1,1,2,87281,17582,0,0,104863,,,,9047,,104865,0,10024,92,996,15,3520,7544,59,9522,2,166,5277,140,1150,2091,5,N,Y,PE,-1,-1,02,060,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0048,AK0048,NENANA PUBLIC LIBRARY,P. O. BOX 40,NENANA,YUKON-KOYUKUK,99760,0040,9078325812,NO,CI,SO,Y,CI1,435,431,1,0,0,0,0.7,0.1,0.8,22510,7000,6548,3000,39058,,,,3592,,36058,0,9000,120,650,13,1456,2200,97,22147,18,27,8181,293,0,425,0,N,Y,ST,-1,0,02,290,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0,28,20
AK,AK0051,AK0051,NINILCHIK COMMUNITY LIBRARY,P. O. BOX 39165,NINILCHIK,KENAI PENINSULA,99639,0165,9075673333,NO,NP,SO,Y,OTH,2318,2295,1,0,0,0,0.38,0,0.38,0,6430,0,7914,14344,,,,3338,,14004,0,10424,201,859,48,1456,6000,300,23822,0,0,2852,65,0,0,0,N,N,NA,0,0,02,122,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
AK,AK0052,AK0052,KEGOAYAH KOZGA LIBRARY,P. O. BOX 1168,NOME,NOME,99762,1168,9074436627,NO,CI,SO,Y,CI2,3706,3669,1,0,0,0,1,1.5,2.5,224288,15686,0,0,239974,103907,28661,132568,27279,35163,195010,0,14930,1147,456,85,2244,12240,3060,26126,14,377,12701,1152,278,8951,60,N,Y,PE,-1,-1,02,180,1999,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,20,20
AK,AK0053,AK0053,NORTHWAY COMMUNITY LIBRARY,P. O. BOX 496,NORTHWAY,SE FAIRBANK,99764,0496,9077782251,NO,NP,SO,Y,OTH,124,123,1,0,0,0,0.25,0,0.25,0,5280,8315,944,14539,,,,3074,,11692,0,2100,229,565,18,480,1500,10,898,0,6,168,205,0,0,0,N,N,NA,0,0,02,240,1999,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
