LIBID,LIBNAME,ADDRESS,CITY,ZIP1,ZIP2,PHONE,POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,C_RELATN,C_LEGBASE,C_ADMIN,CNTY,C_FSCS,ELMATEXP,ELACCEXP,ELMATS,ELSVCACC,INETACC,INETUSE,POPU_UNDUP,FSCSKEY,STABR,PUB_FIPS,YR,OBEREG,RSTATUS,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,IMP24,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32
200,Cordova Public Library,P. O. Box 1210,Cordova,99574,1210,9074246667,2537,1,0,0,0,1,1.13,2.13,83110,6890,0,0,90000,52058,17602,69660,11750,8590,90000,0,19781,1341,687,52,1820,18046,335,55134,0,602,27308,4504,NO,CI,SO,-1,Y,-1,-1,12,Y,N,,2537,AK0016,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0
210,Craig Public Library,P. O. BOX 26,Craig,99921,0026,9078263281,2109,1,0,0,0,1,0,1,34135,6890,0,0,41025,,,,9150,,41025,0,10904,426,280,44,1820,7950,310,13384,0,209,4786,642,NO,CI,SO,-1,Y,0,-1,0,Y,N,,2109,AK0017,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
220,Ipnatchiaq Library,P. O. Box 36049,Deering,99736,0049,9073632136,141,1,0,0,0,0.39,0,0.39,4000,6512,3123,0,13635,,,,3412,,13634,0,6560,231,80,16,679,3696,4,210,0,1,96,381,NO,CI,SO,-1,Y,0,0,1,N,N,,141,AK0018,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
230,Delta Community Library,P. O. BOX 229,Delta Junction,99737,0229,9078954102,849,1,0,0,0,0.2,0.1,0.3,5399,6890,0,0,12289,,,,1378,,12289,0,12305,55,332,4,672,4471,400,8672,2,68,2465,308,NO,CI,SO,-1,Y,-1,-1,0,Y,Y,UK,849,AK0019,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 0, 0
240,Dillingham Public Library,P. O. Box 870,Dillingham,99576,0870,9078425610,2226,1,0,0,0,0.5,0,0.5,23961,7862,0,450,32273,,,,16056,,31823,3925,12000,387,700,105,1352,4645,847,4788,0,8,1204,72,NO,CI,SO,-1,Y,0,0,0,N,N,,2226,AK0020,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 8, 0, 0
250,Eagle Public Library,P. O. Box 45,Eagle City,99738,0045,9075472334,160,1,0,0,0,0,0,0,1000,5756,1833,1000,9589,,,,5493,,9628,0,12000,46,967,29,762,3000,300,7570,0,164,2152,165,NO,NP,SO,-1,N,-1,-1,0,Y,N,,160,AK0021,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 0, 0
260,Elim Community Library,P. O. BOX 39050,Elim,99739,0050,9078903501,284,1,0,0,0,0.25,0,0.25,5000,6890,4232,0,16122,,,,2644,,12746,0,5636,8,41,10,480,576,5,724,0,0,531,42,NO,CI,SO,-1,Y,-1,0,1,N,N,,284,AK0022,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
270,Fairbanks North Star Boroug,1215 Cowles Street,Fairbanks,99701,4394,9074591020,116304,1,1,0,8.5,10.75,35.88,46.63,2398693,41339,157588,141291,2738911,1466855,445950,1912805,303559,275126,2491490,0,242194,7932,3943,1242,5148,243772,68835,560769,2466,2890,175463,17876,NO,MJ,MO,-1,Y,37724,74121,27,Y,Y,PE,116304,AK0023,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 0, 0
290,Charles Evans Community Library,P. O. Box 149,Galena,99741,0149,9076561869,529,1,0,0,0,0.25,0,0.25,10792,5227,1300,3708,21027,,,,1711,,21027,3708,12583,0,100,30,510,370,75,2090,0,47,790,40,NO,SP,SO,-1,Y,250,-1,4,Y,N,,529,AK0025,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310,Copper Valley Community Library,P. O. Box 173,Glennallen,99588,0173,9078225226,491,1,0,1,0,0.25,0.1,0.35,0,14659,0,16634,31293,,,,5612,,31203,0,5506,196,686,38,1492,7000,260,16964,0,191,7538,831,NO,NP,MO,-1,Y,0,-1,0,Y,Y,PE,491,AK0027,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
320,Gustavus Public Library,P. O. Box 279,Gustavus,99826,0279,9076972350,345,1,0,0,0,0.25,0,0.25,4269,6890,0,2990,14149,,,,3317,,14149,0,5660,80,123,42,750,3028,93,6034,5,247,3703,628,NO,NP,SO,-1,Y,-1,-1,12,Y,Y,PE,345,AK0028,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
330,Haines Borough Public Library,P. O. Box 1089,Haines,99827,1089,9077662545,2373,1,0,0,0,1.5,1.25,2.75,166840,6890,0,16698,190428,88646,39658,128304,19598,37505,185407,842,17168,767,1000,96,2626,50000,6500,58680,160,1168,15349,2239,NO,CO,SO,-1,Y,1800,288,7,Y,Y,PE,2373,AK0029,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
340,Tri-Valley Community Library,P. O. Box 400,Healy,99743,0400,9076832507,578,1,0,0,0,0.4,0.1,0.5,3974,5945,0,11476,21395,,,,3450,,18123,0,17577,541,651,44,1830,7350,379,11765,49,392,7090,421,NO,SP,SO,-1,Y,-1,-1,26,Y,Y,PE,578,AK0030,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0
350,Hollis Public Library,P. O. Box 5,Hollis,99950,0070,9075307112,169,1,0,0,0,0,0,0,3000,6134,0,0,9134,,,,4714,,9134,0,13850,475,175,3,1200,5500,2500,12250,0,0,6100,1362,NO,NP,SO,-1,N,0,0,0,N,N,,169,AK0031,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
360,Homer Public Library,141 W. Pioneer Avenue,Homer,99603,7523,9072353180,10995,1,0,0,1,1,3.3,4.3,223188,6890,0,0,230078,140633,41056,181689,15325,33064,230078,0,31788,289,620,99,2640,91825,8618,100965,235,1067,25173,1324,NO,CI,SO,-1,Y,1200,-1,0,Y,Y,PE,10995,AK0032,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0,10, 0, 0
380,Hope Community Library,P. O. Box 127,Hope,99605,0127,9077823121,267,1,0,0,0,0.25,0,0.25,3808,5813,0,0,9621,,,,1146,,9623,0,4604,0,0,6,520,1462,6,1561,0,8,430,81,NO,NP,SO,-1,Y,0,0,0,N,N,,267,AK0033,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400,Juneau Public Libraries,292 Marine Way,Juneau,99801,1361,9075865324,34799,1,2,0,4.69,4.69,13.61,18.3,1311111,65670,95310,7900,1479991,592947,294639,887586,179341,413064,1479991,0,114855,2667,3122,342,7090,434865,21074,267725,7635,8255,109501,8950,NO,CO,MO,-1,Y,18800,91200,22,Y,Y,PE,34799,AK0035,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
410,Kake Community Library,P. O. Box 450,Kake,99830,0450,9077853724,712,1,0,0,0,0.5,0,0.5,5912,6890,0,0,12802,,,,5515,,12803,0,9657,180,56,25,900,3195,3,3507,0,199,2003,81,NO,SP,SO,-1,Y,0,-1,0,Y,N,,712,AK0036,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420,Kasilof Public Library,P. O. Box 176,Kasilof,99610,0176,9072624844,1160,1,0,0,0,0.25,0,0.25,0,5000,0,0,5000,,,,1770,,5000,0,4744,221,156,0,1190,5868,89,9276,0,0,5950,23,NO,SP,SO,-1,Y,-1,-1,0,Y,Y,PE,1160,AK0037,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 9, 0, 0
430,Kenai Community Library,163 Main Street Loop,Kenai,99611,7793,9072834378,13673,1,0,0,0,1,5,6,428203,13890,0,0,442093,174669,38923,213592,51338,177163,442093,0,62079,576,1117,350,3276,87638,13500,97931,613,505,34662,4852,NO,CI,SO,-1,Y,10179,3603,7,Y,Y,PE,13673,AK0038,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
450,Ketchikan Public Library,629 Dock Street,Ketchikan,99901,6589,9072253331,14728,1,0,0,3,3.65,7.95,11.6,737177,10390,0,15977,763544,380530,165890,546420,101679,115445,763544,0,46401,1671,2493,173,3016,173420,7286,179576,538,1432,54733,6865,NO,CI,SO,-1,Y,4262,100,44,Y,Y,PE,14728,AK0039,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
470,A. Holmes Johnson Mem Library,319 Lower Mill Bay Rd,Kodiak,99615,7341,9074868686,13144,1,0,0,1,1,6.52,7.52,495837,6890,0,3793,506520,271855,111774,383629,51183,71678,506490,0,56259,4726,1021,274,3318,116014,4000,88945,357,786,29881,150,NO,CI,SO,-1,Y,-1,-1,17,Y,Y,PE,13144,AK0040,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
480,Chukchi Library,P. O. Box 297,Kotzebue,99752,0297,9074422410,3803,1,1,0,0,1,2,3,41404,13780,4232,45421,104837,57937,13515,71452,19173,14212,104837,0,18909,465,1209,121,2800,14000,7304,10356,27,1060,3132,1730,NO,MJ,MO,-1,Y,1962,-1,8,Y,Y,PE,3803,AK0041,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
530,Mcgrath Community Library,P. O. Box 249,Mcgrath,99627,0249,9075243843,466,1,0,0,0,0.35,0.3,0.65,5000,6890,0,11641,23531,,,,5868,,19504,0,11690,91,56,25,1300,8268,52,3291,47,165,1870,2304,NO,NP,SO,-1,Y,2127,-1,49,Y,Y,PE,466,AK0044,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
550,Metlakatla Centennial Library,P. O. BOX 7,Metlakatla,99926,0007,9078864441,1657,1,0,0,0,0.5,0,0.5,2700,0,4232,0,6932,,,,2108,,6890,0,4849,0,2,12,480,1500,50,4863,0,0,1485,1125,NO,SP,SO,-1,Y,0,0,0,N,N,,1657,AK0046,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
560,Martin Monsen Library,P. O. Box 147,Naknek,99633,0147,9072464465,1254,1,2,0,0,1,1,2,171023,20670,0,0,191693,,,,13500,,183619,8074,21224,90,968,20,4316,7157,460,9585,0,436,5768,622,NO,CO,MO,-1,Y,3300,500,0,Y,Y,PI,1254,AK0047,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
570,Nenana Public Library,P. O. Box 40,Nenana,99760,0040,9078325812,449,1,0,0,0,0.7,0.13,0.83,18688,6890,3414,2750,31742,,,,7822,,33180,475,8727,110,578,27,1332,3290,200,4465,25,62,1665,239,NO,CI,SO,-1,Y,0,-1,0,Y,N,,449,AK0048,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0
600,Ninilchik Community Library,P. O. Box 39165,Ninilchik,99639,0165,9075673333,2281,1,0,0,0,0.72,0,0.72,0,6323,0,8539,14862,,,,2691,,14038,0,10435,208,670,0,1508,5000,200,23855,0,39,4694,25,NO,NP,SO,-1,Y,0,0,0,N,N,,2281,AK0051,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
610,Kegoayah Kozga Library,P. O. Box 1168,Nome,99762,1168,9074435133,4021,1,0,0,0,0.94,1.44,2.38,181371,9890,0,0,191261,96983,16168,113151,22820,38594,174565,0,17381,713,289,84,1966,11840,1390,22156,29,195,5589,569,NO,CI,SO,-1,Y,-1,-1,59,Y,Y,PE,4021,AK0052,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0,10, 0, 0
620,Northway Community Library,P. O. Box 496,Northway,99764,0496,9077782288,125,1,0,0,0,0.25,0,0.25,0,5227,3774,626,9627,,,,2253,,9219,0,1343,333,537,26,480,995,26,629,0,25,351,205,NO,NP,SO,-1,Y,0,0,0,N,N,,125,AK0053,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
640,Palmer Public Library,655 S. Valley Way,Palmer,99645,6697,9077454690,15352,1,0,0,1,1,3,4,322500,18590,0,0,341090,122777,40468,163245,20000,111281,294526,0,43500,200,557,90,2184,33000,8500,83638,0,0,35145,0,NO,CI,SO,-1,Y,-1,-1,-1,Y,Y,ST,15352,AK0055,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0
650,Pelican Public Library,P. O. Box 712,Pelican,99832,0712,9077352500,196,1,0,0,0,0.4,0.1,0.5,17805,6890,0,0,24695,,,,3305,,24695,0,7151,605,350,64,500,2500,100,2668,0,49,758,197,NO,CI,SO,-1,Y,0,-1,40,Y,N,,196,AK0056,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10, 0, 0
660,Petersburg Public Library,P. O. BOX 1072,Petersburg,99833,1072,9077723349,3356,1,0,0,1,1,1.5,2.5,157296,6890,287,5151,169624,90531,20460,110991,31471,17185,159647,0,25179,479,836,85,2200,30404,1300,34240,206,401,9514,1088,NO,CI,SO,-1,Y,3084,457,0,Y,Y,PE,3356,AK0057,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
680,Jessie Wakefield Memorial Library,P. O. Box 49,Port Lions,99550,0049,9074542288,264,1,0,0,0,0.37,0,0.37,3100,6654,3774,722,14250,,,,1344,,12149,0,32438,0,240,23,780,1744,180,2405,0,69,1434,181,NO,NP,SO,-1,Y,335,-1,2,Y,N,,264,AK0058,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0
700,Ruby Community Library,P. O. BOX 90,Ruby,99768,0090,9074684432,204,1,0,0,0,0.3,0,0.3,5360,5772,0,0,11132,,,,1184,,11132,0,3504,0,0,12,624,1378,5,1022,0,3,604,139,NO,CI,SO,-1,Y,0,0,0,N,N,,204,AK0060,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
720,St. Paul Comm/School Library,P.O. Box 905,St. Paul,99660,0905,9075462221,739,1,0,0,0,0.25,0.1,0.35,5000,6890,3774,0,15664,,,,7302,,15665,0,13886,979,685,96,578,18000,100,10120,12,50,9410,6445,NO,SP,SO,-1,Y,0,-1,0,Y,Y,ST,739,AK0061,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
750,Seldovia Public Library,P. O. Drawer H,Seldovia,99663,0189,9072347856,828,1,0,0,0,0,0,0,0,5000,0,1011,6011,,,,5475,,6259,0,11040,248,578,38,676,4360,175,7853,0,25,1595,107,NO,NP,SO,-1,N,0,-1,0,N,Y,ST,828,AK0064,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0
760,Seward Community Library,P. O. Box 537,Seward,99664,0357,9072243646,6126,1,0,0,1,1,2.8,3.8,222694,12890,0,9422,245006,96363,38188,134551,31455,79001,245007,0,26317,1131,785,62,2392,55582,3900,46780,33,1404,18572,2013,NO,CI,SO,-1,Y,968,997,6,Y,Y,PE,6126,AK0065,AK,02,97,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
770,Nellie Weyiouanna Ilisaavik,P. O. Box 90,Shishmaref,99772,0051,9076493011,537,1,0,0,0,0.37,0,0.37,3433,6890,0,0,10323,,,,934,,9999,0,3700,0,19,23,720,500,20,1155,0,0,540,0,NO,CI,SO,-1,Y,0,0,0,N,N,,537,AK0066,AK,02,97,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0
