STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,CNTY,ZIP,ZIP4,PHONE,C_OUT_TY,C_MSA,SQ_FEET,L_NUM_BM,PUB_FIPS,CNTYFIPS,YR_SUB,IMP1,IMP2
AK,AK0014,002,AK0014-002,COLD BAY PUBLIC LIBRARY,CITY BUILDING,COLD BAY,ALEUTIANS EAST,99571,0087,9075322401,CE,NO,1100,0,02,013,2003,0,0
AK,AK0015,002,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,BEAN CREEK ROAD,COOPER LANDING,KENAI PENINSULA,99572,0517,9075951241,CE,NO,660,0,02,122,2003,0,0
AK,AK0016,002,AK0016-002,CORDOVA PUBLIC LIBRARY,622 FIRST STREET,CORDOVA,VALDEZ-CORDOVA,99574,1210,9074246667,CE,NO,2800,0,02,261,2003,0,0
AK,AK0017,003,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,PR WALES-OUTER,99921,0769,9078263281,CE,NO,1800,0,02,201,2003,0,0
AK,AK0018,002,AK0018-002,IPNATCHIAQ LIBRARY,59 MAIN STREET,DEERING,NORTHWEST ARCTIC,99736,0070,9073632136,CE,NO,375,0,02,188,2003,0,0
AK,AK0019,002,AK0019-002,DELTA COMMUNITY LIBRARY,2288 DEBORAH STREET,DELTA JUNCTION,SE FAIRBANK,99737,0229,9078954102,CE,NO,2350,0,02,240,2003,0,0
AK,AK0020,002,AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET W,DILLINGHAM,DILLINGHAM,99576,0870,9078425610,CE,NO,2430,0,02,070,2003,0,0
AK,AK0021,002,AK0021-002,EAGLE PUBLIC LIBRARY,2ND & AMUNDSEN,EAGLE,SE FAIRBANK,99738,0045,9075472334,CE,NO,1500,0,02,240,2003,0,0
AK,AK0022,002,AK0022-002,ERNEST NYLIN MEMORIAL LIBRARY,101 HILLSIDE STREET,ELIM,NOME,99739,0050,9078903501,CE,NO,1200,0,02,180,2003,0,0
AK,AK0023,002,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,FAIRBANKS NORTH,99701,4313,9074591020,CE,NO,62100,0,02,090,2003,0,0
AK,AK0023,003,AK0023-003,NORTH POLE BRANCH LIBRARY,601 SNOWMAN LANE,NORTH POLE,FAIRBANKS NORTH,99705,7716,9074886101,BR,NO,4200,0,02,090,2003,0,0
AK,AK0025,002,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI DRIVE,GALENA,YUKON-KOYUKUK,99741,0299,9076561883,CE,NO,1500,0,02,290,2003,0,0
AK,AK0027,002,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,VALDEZ-CORDOVA,99588,0173,9078225427,CE,NO,2000,0,02,261,2003,0,0
AK,AK0027,003,AK0027-003,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,VALDEZ-CORDOVA,99588,0173,9078225427,BS,NO,-3,1,02,261,2003,0,0
AK,AK0028,002,AK0028-002,GUSTAVUS PUBLIC LIBRARY,#14 GUSTAVUS MAIN ROAD,GUSTAVUS,SKAGWAY-ANGOON,99826,0279,9076972350,CE,NO,2700,0,02,232,2003,0,0
AK,AK0029,002,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,103 THIRD AVENUE SOUTH,HAINES,HAINES,99827,1089,9077662545,CE,NO,3600,0,02,100,2003,0,0
AK,AK0030,002,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,SUNTRANA ROAD,HEALY,DENALI,99743,0518,9076832507,CE,NO,4560,0,02,068,2003,0,0
AK,AK0031,002,AK0031-002,HOLLIS PUBLIC LIBRARY,101 LIBRARY ROAD,HOLLIS,PR WALES-OUTER KE,99950,0005,9075307112,CE,NO,2300,0,02,201,2003,0,0
AK,AK0032,002,AK0032-002,HOMER PUBLIC LIBRARY,141 WEST PIONEER AVENUE,HOMER,KENAI PENINSULA,99603,7523,9072353180,CE,NO,3500,0,02,122,2003,0,0
AK,AK0033,002,AK0033-002,HOPE/SUNRISE COMMUNITY LIBRARY,A STREET & 2ND STREET,HOPE,KENAI PENINSULA,99605,0127,9077823121,CE,NO,2304,0,02,122,2003,0,0
AK,AK0035,002,AK0035-002,DOUGLAS PUBLIC LIBRARY,1016 THIRD STREET,DOUGLAS,JUNEAU,99824,5416,9073642378,BR,NO,8000,0,02,110,2003,0,0
AK,AK0035,003,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,"9105 MENDENHALL MALL ROAD, SUITE 13",JUNEAU,JUNEAU,99801,7115,9077890125,BR,NO,7160,0,02,110,2003,0,0
AK,AK0035,004,AK0035-004,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,JUNEAU,99801,1361,9075865324,CE,NO,17000,0,02,110,2003,0,0
AK,AK0037,002,AK0037-002,KASILOF PUBLIC LIBRARY,MILE 110 STERLING HIGHWAY,KASILOF,KENAI PENINSULA,99610,0176,9072624844,CE,NO,2553,0,02,122,2003,0,0
AK,AK0038,002,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,KENAI PENINSULA,99611,7793,9072834378,CE,NO,10000,0,02,122,2003,0,0
AK,AK0039,002,AK0039-002,KETCHIKAN PUBLIC LIBRARY,629 DOCK STREET,KETCHIKAN,KETCHIKAN GATEWAY,99901,6589,9072253331,CE,NO,6100,0,02,130,2003,0,0
AK,AK0040,002,AK0040-002,A. HOLMES JOHNSON MEMORIAL LIBRARY,319 LOWER MILL BAY ROAD,KODIAK,KODIAK ISLAND,99615,7341,9074868686,CE,NO,9202,0,02,150,2003,0,0
AK,AK0041,002,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,NORTHWEST ARCTIC,99752,0297,9074422410,CE,NO,1700,0,02,188,2003,0,0
AK,AK0041,003,AK0041-003,SELAWIK DAVIS COMMUNITY/SCHOOL LIBRARY,SELAWIK HIGH SCHOOL BUILDING,SELAWIK,NORTHWEST ARCTIC,99770,0119,9074842142,BR,NO,2000,0,02,188,2003,0,0
AK,AK0044,002,AK0044-002,MCGRATH COMMUNITY LIBRARY,CHINANA AVENUE,MCGRATH,YUKON-KOYUKUK,99627,0249,9075243843,CE,NO,1650,0,02,290,2003,0,0
AK,AK0046,002,AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,PR WALES-OUTER KE,99926,0007,9078866015,CE,NO,2400,0,02,201,2003,0,0
AK,AK0047,003,AK0047-003,SOUTH NAKNEK BRANCH LIBRARY,#1 SCHOOL ROAD,SOUTH NAKNEK,BRISTOL BAY,99670,M,9072466513,BR,NO,840,0,02,060,2003,0,0
AK,AK0047,004,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,BRISTOL BAY,99633,0147,9072464465,CE,NO,1456,0,02,060,2003,0,0
AK,AK0048,002,AK0048-002,NENANA PUBLIC LIBRARY,201 EAST SECOND STREET,NENANA,YUKON-KOYUKUK,99760,0040,9078325812,CE,NO,2421,0,02,290,2003,0,0
AK,AK0051,002,AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,KENAI PENINSULA,99639,0165,9075673333,CE,NO,1248,0,02,122,2003,0,0
AK,AK0052,002,AK0052-002,KEGOAYAH KOZGA LIBRARY,223 FRONT STREET,NOME,NOME,99762,1168,9074436628,CE,NO,1800,0,02,180,2003,0,0
AK,AK0053,002,AK0053-002,NORTHWAY COMMUNITY LIBRARY,MILE 5 NORTHWAY ROAD,NORTHWAY,SE FAIRBANK,99764,0496,9077782251,CE,NO,2562,0,02,240,2003,0,0
AK,AK0055,002,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,MATANUSKA-SUSITNA,99645,6697,9077454690,CE,NO,11400,0,02,170,2003,0,0
AK,AK0056,002,AK0056-002,PELICAN PUBLIC LIBRARY,32 HARBOR DRIVE,PELICAN,SKAGWAY-ANGOON,99832,0712,9077352500,CE,NO,1200,0,02,232,2003,0,0
AK,AK0057,002,AK0057-002,PETERSBURG PUBLIC LIBRARY,12 NORDIC AVENUE,PETERSBURG,WRANGELL-PETERSBU,99833,0549,9077723349,CE,NO,2645,0,02,280,2003,0,0
AK,AK0058,002,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,KODIAK ISLAND,99550,0049,9074542288,CE,NO,1360,0,02,150,2003,0,0
AK,AK0060,002,AK0060-002,RUBY COMMUNITY LIBRARY,10 BOBBY KENNEDY SR. WAY,RUBY,YUKON-KOYUKUK,99768,0010,9074684432,CE,NO,960,0,02,290,2003,0,0
AK,AK0064,002,AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,KENAI PENINSULA,99663,0189,9072347662,CE,NO,4460,0,02,122,2003,0,0
AK,AK0065,002,AK0065-002,SEWARD COMMUNITY LIBRARY,238 5TH AVENUE,SEWARD,KENAI PENINSULA,99664,2389,9072243646,CE,NO,7900,0,02,122,2003,0,0
AK,AK0067,002,AK0067-002,KETTLESON MEMORIAL LIBRARY,320 HARBOR DRIVE,SITKA,SITKA,99835,7570,9077478708,CE,NO,7300,0,02,220,2003,0,0
AK,AK0068,002,AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,SKAGWAY-ANGOON,99840,0394,9079832665,CE,NO,3220,0,02,232,2003,0,0
AK,AK0069,002,AK0069-002,SOLDOTNA PUBLIC LIBRARY,235 BINKLEY STREET,SOLDOTNA,KENAI PENINSULA,99669,7523,9072624227,CE,NO,8200,0,02,122,2003,0,0
AK,AK0070,002,AK0070-002,SUTTON PUBLIC LIBRARY,11317 NORTH JONESVILLE MINE ROAD,SUTTON,MATANUSKA-SUSITNA,99674,0266,9077454467,CE,NO,2255,0,02,170,2003,0,0
AK,AK0071,001,AK0071-002,TAKOTNA COMMUNITY/SCHOOL LIBRARY,#1 FRONT STREET,TAKOTNA,YUKON-KOYUKUK,99675,M,9072982115,CE,NO,160,0,02,290,2003,0,0
AK,AK0072,002,AK0072-002,TALKEETNA PUBLIC LIBRARY,MILE 13.5 TALKEETNA SPUR ROAD,TALKEETNA,MATANUSKA-SUSITNA,99676,0768,9077332359,CE,NO,2590,0,02,170,2003,0,0
AK,AK0073,002,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,YUKON-KOYUKUK,99777,0109,9073667211,CE,NO,2458,0,02,290,2003,0,0
AK,AK0074,002,AK0074-002,DERMOTT O'TOOLE MEMORIAL LIBRARY,34 MAIN STREET,TENAKEE SPRINGS,SKAGWAY-ANGOON,99841,0035,9077362248,CE,NO,896,0,02,232,2003,0,0
AK,AK0075,002,AK0075-002,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,SE FAIRBANK,99780,0227,9078835623,CE,NO,985,0,02,240,2003,0,0
AK,AK0077,002,AK0077-002,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS STREET,VALDEZ,VALDEZ-CORDOVA,99686,0609,9078354632,CE,NO,15000,0,02,261,2003,0,0
AK,AK0078,002,AK0078-002,WASILLA PUBLIC LIBRARY,391 NORTH MAIN STREET,WASILLA,MATANUSKA-SUSITNA,99654,7085,9073765913,CE,NO,7687,0,02,170,2003,0,0
AK,AK0080,002,AK0080-002,WILLOW PUBLIC LIBRARY,MILE 69.5 PARKS HIGHWAY,WILLOW,MATANUSKA-SUSITNA,99688,0129,9074956424,CE,NO,4111,0,02,170,2003,0,0
AK,AK0081,002,AK0081-002,IRENE INGLE PUBLIC LIBRARY,124 SECOND STREET,WRANGELL,WRANGELL-PETERSBU,99929,0679,9078743535,CE,NO,5930,0,02,280,2003,0,0
AK,AK0082,002,AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,1 KILBUCK ROAD,AKIAK,BETHEL,99552,0227,9077654630,CE,NO,2500,0,02,050,2003,0,0
AK,AK0085,002,AK0085-002,KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,VALDEZ-CORDOVA,99573,9704,9078223015,CE,NO,1088,0,02,261,2003,0,0
AK,AK0085,003,AK0085-003,KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,VALDEZ-CORDOVA,99573,9704,9078223015,BS,NO,-3,1,02,261,2003,0,0
AK,AK0088,003,AK0088-002,PILOT STATION PUBLIC LIBRARY,P. O. BOX 5130,PILOT STATION,WADE HAMPTON,99650,5103,9075493211,CE,NO,550,0,02,270,2003,0,0
AK,AK0091,002,AK0091-002,TULUKSAK SCHOOL/COMMUNITY LIBRARY,1 PHILLIP STREET,TULUKSAK,BETHEL,99679,0115,9076955642,CE,NO,3000,0,02,050,2003,0,0
AK,AK0094,003,AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,567 MAIN STREET,WAINWRIGHT,NORTH SLOPE,99782,0010,9077632541,BR,NO,2225,0,02,185,2003,0,0
AK,AK0094,004,AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,1837 TIKIGAK AVENUE,POINT HOPE,NORTH SLOPE,99766,0148,9073682662,BR,NO,2849,0,02,185,2003,0,0
AK,AK0094,005,AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,114 ILLINOIS AVENUE,ANAKTUVUK PASS,NORTH SLOPE,99721,1029,9076613226,BR,NO,1230,0,02,185,2003,0,0
AK,AK0094,006,AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,4001 KIPPI STREET,ATQASUK,NORTH SLOPE,99791,M,9076336315,BR,NO,800,0,02,185,2003,0,0
AK,AK0094,007,AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,2001 BARTER AVENUE,KAKTOVIK,NORTH SLOPE,99747,0020,9076406626,BR,NO,1152,0,02,185,2003,0,0
AK,AK0094,008,AK0094-008,NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY,3310  3RD AVENUE,NUIQSUT,NORTH SLOPE,99789,0167,9074806712,BR,NO,1305,0,02,185,2003,0,0
AK,AK0094,009,AK0094-009,KALI SCHOOL/COMMUNITY LIBRARY,1029 UGRUK AVENYE,POINT LAY,NORTH SLOPE,99759,0077,9078332311,BR,NO,888,0,02,185,2003,0,0
AK,AK0094,010,AK0094-010,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,BARROW,NORTH SLOPE,99723,0749,9078521720,CE,NO,7000,0,02,185,2003,0,0
AK,AK0095,002,AK0095-002,AKIACHAK SCHOOL/COMMUNITY LIBRARY,#1 MAIN STREET,AKIACHAK,BETHEL,99551,0100,9078253631,CE,NO,1800,0,02,050,2003,0,0
AK,AK0097,002,AK0097-002,ESTHER GREENWALD LIBRARY,366 GARTEENI HIGHWAY,HOONAH,SKAGWAY-ANGOON,99829,0157,9079453611,CE,NO,4040,0,02,232,2003,0,0
AK,AK0099,002,AK0099-002,MOOSE PASS PUBLIC LIBRARY,DEPOT ROAD & SEWARD HIGHWAY,MOOSE PASS,KENAI PENINSULA,99631,0154,9072883111,CE,NO,360,0,02,122,2003,0,0
AK,AK0100,001,AK0100-002,NIKOLAI COMMUNITY/SCHOOL LIBRARY,TOP OF THE KUSKOKWIM SCHOOL BUILDIN,NIKOLAI,YUKON-KOYUKUK,99691,0090,9072932427,CE,NO,1640,0,02,290,2003,0,0
AK,AK0101,002,AK0101-002,SAND POINT COMMUNITY/SCHOOL LIBRARY,SAND POINT SCHOOL BUILDING,SAND POINT,ALEUTIANS EAST,99661,0269,9073832393,CE,NO,1787,0,02,013,2003,0,0
AK,AK0102,002,AK0102-002,EGEGIK VILLAGE LIBRARY,289 AIRPORT WAY,EGEGIK,LAKE AND PENINSUL,99579,0029,9072332211,CE,NO,900,0,02,164,2003,0,0
AK,AK0103,002,AK0103-002,TRAPPER CREEK LIBRARY ASSOCIATION,MILE 115 PARKS HIGHWAY,TRAPPER CREEK,MATANUSKA-SUSITNA,99683,0388,9077331546,CE,NO,849,0,02,170,2003,0,0
AK,AK0104,002,AK0104-002,HOLY CROSS SCHOOL/COMMUNITY LIBRARY,#1 HUSKY WAY,HOLY CROSS,YUKON-KOYUKUK,99602,0210,9074767131,CE,NO,1450,0,02,290,2003,0,0
AK,AK0109,002,AK0109-002,RUSSIAN MISSION COMMUNITY/SCHOOL LIBRARY,#2 SCHOOL DRIVE,RUSSIAN MISSION,WADE HAMPTON,99657,0090,9075845111,CE,NO,864,0,02,270,2003,0,0
AK,AK0111,002,AK0111-002,AKUTAN PUBLIC LIBRARY,8 BAYVIEW DRIVE,AKUTAN,ALEUTIANS EAST,99553,0026,9076982230,CE,NO,864,0,02,013,2003,0,0
AK,AK0112,001,AK0112-002,FALSE PASS PUBLIC LIBRARY,180 UNIMAK DRIVE,FALSE PASS,ALEUTIANS EAST,99583,0050,9075482233,CE,NO,2000,0,02,013,2003,0,0
AK,AK0113,002,AK0113-002,OUZINKIE MEDIA CENTER,110 THIRD STREET,OUZINKIE,KODIAK ISLAND,99644,0130,9076802323,CE,NO,200,0,02,150,2003,0,0
AK,AK0115,002,AK0115-002,UNALASKA PUBLIC LIBRARY,64 ELEANOR DRIVE,UNALASKA,ALEUTIANS WEST,99685,0610,9075815060,CE,NO,9400,0,02,016,2003,0,0
AK,AK0116,001,AK0116-002,ANIAK PUBLIC LIBRARY,270 RIVER ROAD,ANIAK,BETHEL,99557,0270,9076754435,CE,NO,750,0,02,050,2003,0,0
AK,AK0117,001,AK0117-002,HYDER PUBLIC LIBRARY,#50 MAIN STREET,HYDER,PR WALES-OUTER,99923,0050,2506362637,CE,NO,1200,0,02,201,2003,0,0
AK,AK0119,001,AK0119-002,KOYUKUK COMMUNITY LIBRARY,300 VISTA ROAD,KOYUKUK,YUKON-KOYUKUK,99754,0049,9079272215,CE,NO,250,0,02,290,2003,0,0
AK,AK0120,001,AK0120-002,INNOKO RIVER COMMUNITY/SCHOOL LIBRARY,101 PINE STREET,SHAGELUK,YUKON-KOYUKUK,99665,0049,9074738206,CE,NO,864,0,02,290,2003,0,0
AK,AK0121,001,AK0121-002,BLACKWELL COMMUNITY/SCHOOL LIBRARY,AIRPORT ROAD,ANVIK,YUKON-KOYUKUK,99558,0090,9076636348,CE,NO,560,0,02,290,2003,0,0
AK,AK0122,001,AK0122-002,GRAYLING COMMUNITY/SCHOOL LIBRARY,DAVID-LOUIS SCHOOL BUILDING,GRAYLING,YUKON-KOYUKUK,99590,0090,9074535135,CE,NO,576,0,02,290,2003,0,0
AK,AK0123,001,AK0123-002,KLAWOCK PUBLIC LIBRARY,615 NORTH PARK STREET,KLAWOCK,PR WALES-OUTER,99925,0529,9077552452,CE,NO,1000,0,02,201,2003,0,0
AK,AK0124,001,AK0124-002,LAKE MINCHUMINA COMMUNITY LIBRARY,123 AIRPORT WAY,LAKE MINCHUMINA,YUKON-KOYUKUK,99757,0050,9076743211,CE,NO,1100,0,02,290,2003,0,0
AK,AK0126,001,AK0126-001,IGIUGIG TRIBAL LIBRARY,AIRPORT ROAD,IGIUGIG,LAKE AND PENINSUL,99613,4008,9073533211,CE,NO,440,0,02,164,2003,0,0
AL,AL0001,003,100-000,CARL ELLIOTT REGIONAL LIBRARY,98 EAST 18TH STREET,JASPER,WALKER,35501,5491,2052212568,CE,NC,-1,0,01,127,2003,0,20
AL,AL0002,002,100-001,ARLEY PUBLIC LIBRARY,%TOWN HALL,ARLEY,WINSTON,35541,0146,2053870103,CE,NO,-1,0,01,133,2003,0,20
AL,AL0003,002,100-002,CORDOVA PUBLIC LIBRARY,130 MAIN STREET,CORDOVA,WALKER,35550,1414,2054839578,CE,NC,-1,0,01,127,2003,0,20
AL,AL0004,002,100-003,DORA PUBLIC LIBRARY,1485 SHARON BLVD,DORA,WALKER,35062,0700,2056483211,CE,NC,-1,0,01,127,2003,0,20
AL,AL0005,002,100-004,DOUBLE SPRINGS PUBLIC LIBRARY,BLAKE DRIVE,DOUBLE SPRINGS,WINSTON,35553,0555,2054892412,CE,NO,-1,0,01,133,2003,0,20
AL,AL0006,002,100-005,HALEYVILLE PUBLIC LIBRARY,913 20TH STREET,HALEYVILLE,WINSTON,35565,1323,2054867450,CE,NO,-1,0,01,133,2003,0,20
AL,AL0007,002,100-006,JASPER PUBLIC LIBRARY,98 EAST 18TH STREET,JASPER,WALKER,35501,5491,2052218512,CE,NC,-1,0,01,127,2003,0,20
AL,AL0009,002,100-008,SUMITON PUBLIC LIBRARY,STATE STREET,SUMITON,WALKER,35148,0010,2056487451,CE,NC,-1,0,01,127,2003,0,20
AL,AL0010,002,101-000,CHEAHA REGIONAL LIBRARY,935 COLEMAN STREET,HEFLIN,CLEBURNE,36264,1313,2564637125,CE,NO,-1,0,01,029,2003,0,20
AL,AL0010,006,AL0010-006,CHEAHA REGIONAL BOOKMOBILE,935 COLEMAN STREET,HEFLIN,CLEBURNE,36264,1313,2564637125,BS,NO,-3,2,01,029,2003,0,0
AL,AL0011,002,101-001,ANNIE L. AWBREY PUBLIC LIBRARY,736 COLLEGE STREET,ROANOKE,RANDOLPH,36274,1616,3348632632,CE,NO,-1,0,01,111,2003,0,20
AL,AL0012,002,101-002,ASHLAND CITY PUBLIC LIBRARY,"113 NORTH 2ND AVENUE, W",ASHLAND,CLAY,36251,0296,2563543427,CE,NO,-1,0,01,027,2003,0,20
AL,AL0013,002,999-028,B. B. COMER MEMORIAL LIBRARY,314 NORTH BROADWAY AVENUE,SYLACAUGA,TALLADEGA,35150,2528,2562490961,CE,NO,-1,0,01,121,2003,0,20
AL,AL0014,002,101-004,CHEROKEE COUNTY PUBLIC LIBRARY,310 MARY STREET,CENTRE,CHEROKEE,35960,2026,2569275838,CE,NO,-1,0,01,019,2003,0,20
AL,AL0015,002,101-005,EARLE A. RAINWATER MEMORIAL LIBRARY,124 NINTH AVENUE SW,CHILDERSBURG,TALLADEGA,35044,1642,2563787239,CE,NO,-1,0,01,121,2003,0,20
AL,AL0016,002,101-006,LINCOLN PUBLIC LIBRARY,49 COMPLEX DRIVE,LINCOLN,TALLADEGA,35096,5096,2057637244,CE,NO,-1,0,01,121,2003,0,20
AL,AL0017,002,101-007,LINEVILLE PUBLIC LIBRARY,60119 HIGHWAY 49,LINEVILLE,CLAY,36266,0482,2563965162,CE,NO,-1,0,01,027,2003,0,20
AL,AL0018,002,101-008,LUCILE L. MORGAN PUBLIC LIBRARY,541 ROSS STREET,HEFLIN,CLEBURNE,36264,0428,2564632259,CE,NO,-1,0,01,029,2003,0,20
AL,AL0019,002,101-009,OXFORD PUBLIC LIBRARY,213 CHOCCOLOCCO STREET,OXFORD,CALHOUN,36203,1617,2568311750,CE,NC,-1,0,01,015,2003,0,20
AL,AL0020,002,999-070,TALLADEGA PUBLIC LIBRARY,202 SOUTH STREET E,TALLADEGA,TALLADEGA,35160,2471,2563624211,CE,NO,-1,0,01,121,2003,0,20
AL,AL0022,002,999-033,ABBEVILLE MEMORIAL LIBRARY,301 KIRKLAND STREET,ABBEVILLE,HENRY,36310,2419,3345852818,CE,NO,-1,0,01,067,2003,0,20
AL,AL0023,003,AL0023-003,DOT LANEY MEMORIAL LIBRARY,30 WEST MAIN STREET,ARITON,DALE,36311,0026,3347622463,CE,NC,-1,0,01,045,2003,0,20
AL,AL0024,002,999-035,BLANCHE R. SOLOMON MEMORIAL LIBRARY,17 PARK STREET,HEADLAND,HENRY,36345,1747,3346932706,CE,NO,-1,0,01,067,2003,0,20
AL,AL0025,002,999-061,TUPPER LIGHTFOOT MEMORIAL LIBRARY,164 SOUTH MAIN STREET,BRUNDIDGE,PIKE,36010,1809,3347352145,CE,NO,-1,0,01,109,2003,0,20
AL,AL0026,002,999-079,OZARK-DALE CO. PUBLIC LIBRARY INC.,320 JAMES STREET,OZARK,DALE,36360,2090,3347745480,CE,NC,-1,0,01,045,2003,0,20
AL,AL0029,002,517-001,ELTON B. STEPHENS LIBRARY,17 SCHOOL STREET,CLIO,BARBOUR,36017,9298,3343972911,CE,NO,-1,0,01,005,2003,0,20
AL,AL0030,002,517-003,LOUISVILLE PUBLIC LIBRARY,"CITY HALL, MAIN STREET",LOUISVILLE,BARBOUR,36048,0125,3342665210,CE,NO,-1,0,01,005,2003,0,20
AL,AL0031,002,999-077,MARY BERRY BROWN MEMORIAL LIBRARY,HINTON WATERS AVE & 3RD STREET,MIDLAND CITY,DALE,36350,0713,3349833511,CE,NC,-1,0,01,045,2003,0,20
AL,AL0032,002,999-078,NEWTON PUBLIC LIBRARY,203 OATES STREET,NEWTON,DALE,36352,9588,3342993316,CE,NC,-1,0,01,045,2003,0,20
