LIBID,LIBNAME,ADDRESS,CITY,ZIP1,ZIP2,PHONE,POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,C_RELATN,C_LEGBASE,C_ADMIN,CNTY,C_FSCS,ELMATEXP,ELACCEXP,ELMATS,ELSVCACC,INETACC,INETUSE,POPU_UNDUP,FSCSKEY,STABR,PUB_FIPS,YR,OBEREG,RSTATUS,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,FILLER,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31
190,Cooper Landing Comm. Library,P. O. Box 517,Cooper Landing,99572,0517,9075951241,541,1,0,0,0,0,0,0,0,6007,0,4350,10357,,,,6135,,8123,0,4393,528,216,11,1040,2080,50,3474,0,0,917,179,NO,NP,SO,-1,N,-1,-1,0,N,N,,541,AK0015,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0,10
200,Cordova Public Library,P. O. Box 1170,Cordova,99574,1170,9074246667,2568,1,0,0,0,1,1.13,2.13,90376,7862,0,0,98238,64009,18268,82277,7677,8284,98238,0,22259,461,176,40,2080,17796,325,30774,0,259,15243,9395,NO,CI,SO,-1,Y,-1,-1,4,Y,N,,2568,AK0016,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 8, 0
210,Craig Public Library,P. O. Box 26,Craig,99921,0026,9078263261,1946,1,0,0,0,0.75,0.25,1,34953,7862,0,515,43330,,,,10481,,43330,7549,10515,394,188,44,1976,7800,310,10279,0,155,3540,515,NO,CI,SO,-1,Y,-1,-1,0,Y,Y,ST,1946,AK0017,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
220,Ipnatchiaq Library,P. O. Box 36049,Deering,99736,0049,9073632136,153,1,0,0,0,0.42,0,0.42,4085,7290,3774,0,15149,,,,2064,,14470,0,6309,207,70,17,726,4400,19,369,0,3,155,210,NO,CI,SO,-1,Y,-1,-1,1,N,N,,153,AK0018,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
230,Delta Community Library,P. O. Box 229,Delta Junction,99737,0229,9078954102,828,1,0,0,0,0.75,0.25,1,23550,7862,0,0,31412,,,,2596,,31412,0,12240,55,323,4,1330,11086,2000,21953,3,119,7289,540,NO,CI,SO,-1,Y,-1,-1,1,Y,Y,ST,828,AK0019,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0,10, 0
240,Dillingham Public Library,P. O. Box 870,Dillingham,99576,0870,9078425610,2243,1,0,0,0,0.75,0,0.75,55097,7862,0,0,62959,,,,8282,,62959,0,12000,350,800,99,806,8060,944,6175,0,0,1553,851,NO,CI,SO,-1,Y,-1,-1,0,N,N,,2243,AK0020,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 1, 0, 0, 0, 0, 9
250,Eagle Public Library,P. O. Box 45,Eagle City,99738,0045,9075472230,146,1,0,0,0,0,0,0,1000,6145,3774,1059,11978,,,,4079,,8148,0,10000,74,913,29,762,3000,500,8173,0,136,2714,260,NO,NP,SO,-1,N,-1,-1,8,Y,N,,146,AK0021,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0,10, 0
260,Elim Community Library,P. O. BOX 39050,Elim,99739,0050,9078903501,281,1,0,0,0,0.25,0,0.25,5000,7862,0,0,12862,,,,2362,,13413,0,5342,41,41,13,480,1332,0,1067,0,0,753,39,NO,CI,SO,-1,Y,-1,-1,0,N,N,,281,AK0022,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
270,Fairbanks North Star Boroug,1215 Cowles Street,Fairbanks,99701,4394,9074591020,118832,1,1,0,8.5,10.25,33.38,43.63,2269352,41214,180936,97641,2589143,1402014,446173,1848187,273684,268922,2390793,91441,225299,7902,3371,671,4999,227245,62952,558720,2833,2847,177162,10277,NO,MJ,MO,-1,Y,-1,-1,9,Y,Y,PE,118832,AK0023,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0,10, 0
290,Charles Evans Community Library,P. O. Box 149,Galena,99741,0149,9076561301,527,1,0,0,0,0.25,0,0.25,8984,5171,2191,300,16646,,,,5378,,16646,0,10357,0,291,55,500,331,25,1149,0,34,325,150,NO,SP,SO,-1,Y,245,-1,2,Y,N,,527,AK0025,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 1, 5, 0,, 0, 0, 0, 0, 0, 0, 0
310,Copper Valley Community Library,P. O. Box 173,Glennallen,99588,0173,9078225226,493,1,0,1,0,0.63,0,0.63,0,16134,0,16499,32633,,,,5927,,31099,0,5146,150,578,35,1500,7031,137,21092,0,30,9148,873,NO,NP,MO,-1,Y,-1,-1,0,N,Y,ST,493,AK0027,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
320,Gustavus Public Library,P. O. Box 279,Gustavus,99826,0279,9076972350,328,1,0,0,0,0,0,0,5193,11862,0,2000,19055,,,,3385,,13055,0,5550,72,80,44,770,2684,68,5647,3,271,3552,683,NO,NP,SO,-1,Y,600,-1,3,Y,N,,328,AK0028,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
330,Haines Borough Public Library,P. O. Box 1089,Haines,99827,1089,9077662545,2341,1,0,0,0,1.5,1.25,2.75,161304,19328,0,10656,191288,85247,34884,120131,23337,29337,172805,14487,16805,652,850,95,2626,46800,6000,55590,1437,2114,15494,2265,NO,CO,SO,-1,Y,542,-1,5,Y,Y,PE,2341,AK0029,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
340,Tri-Valley Community Library,P. O. Box 400,Healy,99743,0400,9076832507,605,1,0,0,0,1.5,0,1.5,4046,6431,0,5051,15528,,,,4948,,18506,0,16962,524,631,55,2300,4200,430,16831,74,664,10143,574,NO,SP,SO,-1,Y,1975,-1,10,Y,Y,PE,605,AK0030,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
350,Hollis Public Library,P. O. Box 5,Hollis,99950,0070,9075307112,106,1,0,0,0,0,0,0,4000,7690,0,700,12390,,,,6667,,12390,0,13200,363,63,2,1300,5500,3000,12200,0,0,6200,1094,NO,NP,SO,-1,N,-1,-1,0,N,N,,106,AK0031,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
360,Homer Public Library,141 W. Pioneer Avenue,Homer,99603,7523,9072353180,10814,1,0,0,1,1,3.5,4.5,221295,7862,0,0,229157,134525,41292,175817,17535,35805,229157,0,28818,265,590,107,2640,79606,9224,89961,220,912,23289,1181,NO,CI,SO,-1,Y,3000,-1,0,N,Y,PE,10814,AK0032,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 5, 0, 0, 0,10, 0
380,Hope Community Library,P. O. Box 127,Hope,99605,0127,9077823121,261,1,0,0,0,0.25,0,0.25,0,7013,0,2800,9813,,,,1593,,8381,0,4417,18,55,8,520,1608,76,1222,0,12,376,168,NO,NP,SO,-1,Y,-1,-1,0,N,N,,261,AK0033,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 1, 0, 0,, 0, 0, 0, 0, 0, 0, 0
390,Hyder Public Library,P. O. Box 50,Hyder,99923,0050,9076362498,138,1,0,0,0,0.38,0,0.38,5000,7862,0,0,12862,,,,4162,,12862,0,6000,20,115,16,750,960,282,5569,4,28,2659,41,NO,NP,SO,-1,Y,-1,-1,0,N,N,,138,AK0034,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 1, 1, 5, 5, 8, 8
400,Juneau Public Libraries,292 Marine Way,Juneau,99801,1361,9075865324,36782,1,2,0,2.81,5.16,13.25,18.41,1036489,33286,88922,0,1158697,569080,300592,869672,133132,155893,1158697,0,126500,2400,2400,437,6790,444905,21754,259913,7396,7522,105017,7713,NO,CO,MO,-1,Y,47000,61500,20,Y,Y,PE,36782,AK0035,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
410,Kake Community Library,P. O. Box 450,Kake,99830,0450,9077853731,696,1,0,0,0,0.5,0,0.5,35562,7862,0,0,43424,,,,7894,,43424,0,9432,180,53,29,900,874,26,2222,0,195,758,103,NO,SP,SO,-1,Y,-1,-1,0,Y,N,,696,AK0036,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
420,Kasilof Public Library,P. O. Box 176,Kasilof,99610,0176,9072624844,1106,1,0,0,0,0.25,0,0.25,0,5000,0,0,5000,,,,1607,,5000,0,11285,278,150,0,1015,6598,100,8200,0,0,5260,0,NO,SP,SO,-1,Y,-1,-1,0,N,N,,1106,AK0037,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 1,, 1, 1, 0, 0, 0, 8, 0
430,Kenai Community Library,163 Main Street Loop,Kenai,99611,7793,9072834378,14282,1,0,0,0,1,4,5,327148,13862,0,3200,344210,168077,35879,203956,38545,101709,344210,0,56407,1054,923,357,3288,82349,25000,97971,706,433,34583,2859,NO,CI,SO,-1,Y,3550,19000,1,Y,Y,PE,14282,AK0038,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
450,Ketchikan Public Library,629 Dock Street,Ketchikan,99901,6589,9072253331,15082,1,0,0,3,3.65,8.05,11.7,738341,11362,0,25921,775624,373524,156135,529659,84038,115580,729277,49540,44643,1450,2043,171,3016,180736,8140,135881,1418,685,51358,6386,NO,CI,SO,-1,Y,-1,-1,5,Y,Y,PE,15082,AK0039,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
470,A. Holmes Johnson Mem Library,319 Lower Mill Bay Rd,Kodiak,99615,7341,9074868686,15400,1,0,0,1,1,6.52,7.52,495837,7862,0,5270,508969,271885,111774,383659,48362,71678,503699,0,53981,4590,916,274,3318,131025,3800,86296,293,519,28661,644,NO,CI,SO,-1,Y,-1,-1,5,Y,Y,PE,15400,AK0040,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 9
480,Chukchi Library,P. O. Box 297,Kotzebue,99752,0297,9074422410,3595,1,1,0,0,1,2,3,37287,15724,3774,68654,125439,57702,11571,69273,25272,30894,125439,0,14078,445,1012,125,2808,12400,4476,11180,15,693,2464,1650,NO,MJ,MO,-1,Y,2637,-1,3,Y,Y,PE,3595,AK0041,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
500,Koyukuk Community Library,P. O. Box 29,Koyukuk,99754,0029,9079272245,125,1,0,0,0,0.38,0,0.38,5000,7862,0,0,12862,,,,1556,,10404,0,2881,0,112,18,720,629,13,1482,0,2,150,84,NO,CI,SO,-1,Y,-1,-1,0,N,N,,125,AK0042,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 1, 0, 0,, 0, 0, 0, 0, 0, 0, 0
530,Mcgrath Community Library,P. O. Box 249,Mcgrath,99627,0249,9075243843,479,1,0,0,0,0.45,0.25,0.7,10000,7862,0,9413,27275,,,,6889,,20383,0,11726,91,51,30,1382,3952,48,3280,0,118,2057,1597,NO,NP,SO,-1,Y,1400,-1,32,Y,Y,PE,479,AK0044,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
550,Metlakatla Centennial Library,P. O. Box 8,Metlakatla,99926,0008,9078864441,1603,1,0,0,0,0.63,0,0.63,12240,7862,3774,0,23876,,,,2749,,20102,0,4700,211,259,12,1020,5014,537,4722,0,0,1323,221,NO,NP,SO,-1,Y,-1,-1,-1,N,N,,1603,AK0046,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 5, 5, 0,, 7, 5, 0, 0, 0,10,10
560,Martin Monsen Library,P. O. Box 147,Naknek,99633,0147,9072464465,1302,1,2,0,0,1,2,3,102959,23586,0,0,126545,77300,14514,91814,7000,22731,121545,5000,21070,90,760,27,4504,6633,320,8458,2,148,4487,546,NO,CO,MO,-1,Y,2000,-1,0,Y,Y,PI,1302,AK0047,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
570,Nenana Public Library,P. O. Box 40,Nenana,99760,0040,9078325812,490,1,0,0,0,0.7,0.18,0.88,17365,7862,3774,2500,31501,,,,4763,,27783,491,8466,122,493,27,1332,3185,300,4309,0,75,1607,102,NO,CI,SO,-1,Y,-1,-1,0,Y,Y,ST,490,AK0048,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 8, 0
600,Ninilchik Community Library,P. O. Box 39165,Ninilchik,99639,0165,9075673333,1925,1,0,0,0,0.5,0,0.5,0,7003,0,5549,12552,,,,2140,,11961,0,10535,201,499,0,1300,4000,125,17881,0,10,3505,99,NO,NP,SO,-1,Y,-1,-1,0,Y,N,,1925,AK0051,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
610,Kegoayah Kozga Library,P. O. Box 1168,Nome,99762,1168,9074435133,3984,1,0,0,0,0.81,2.12,2.93,158630,47148,0,0,205778,107022,25101,132123,27928,45727,205778,0,16593,744,238,82,1932,11344,1348,15908,79,219,7878,1111,NO,CI,SO,-1,Y,-1,-1,59,Y,Y,ST,3984,AK0052,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 9, 0
620,Northway Community Library,P. O. Box 519,Northway,99764,0519,9077782287,133,1,0,0,0,0.25,0,0.25,0,5343,4290,803,10436,,,,2734,,9742,0,1283,328,507,23,480,1310,32,904,0,22,355,117,NO,NP,SO,-1,Y,-1,-1,0,N,N,,133,AK0053,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
640,Palmer Public Library,655 S. Valley Way,Palmer,99645,6697,9077454690,14417,1,0,0,1,1,3,4,267043,19862,0,4000,290905,105000,53780,158780,24800,57982,241562,0,41025,115,443,73,2142,32000,7000,73317,375,126,30808,2821,NO,CI,SO,-1,Y,-1,-1,0,Y,Y,ST,14417,AK0055,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 8, 0
650,Pelican Public Library,P. O. Box 712,Pelican,99832,0712,9077352500,209,1,0,0,0,0.4,0.1,0.5,12664,7862,0,125,20651,,,,4590,,20645,0,7260,735,334,68,554,1500,200,2588,0,48,859,256,NO,CI,SO,-1,Y,-1,-1,0,N,N,,209,AK0056,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0,10, 0
660,Petersburg Public Library,P. O. Box 549,Petersburg,99833,0549,9077723349,3350,1,0,0,1,1,1.5,2.5,141835,7862,267,7936,157900,87103,20789,107892,26332,16499,150723,0,24473,439,730,85,2200,27833,832,32996,330,373,10997,896,NO,CI,SO,-1,Y,2899,270,1,Y,Y,PI,3350,AK0057,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
680,Jessie Wakefield Memorial Library,P. O. Box 49,Port Lions,99550,0049,9074542288,263,1,0,0,0,0.25,0.1,0.35,3100,7593,0,2103,12796,,,,1790,,12610,0,32129,55,204,23,936,2073,226,2869,0,67,1711,256,NO,NP,SO,-1,Y,575,-1,3,Y,N,,263,AK0058,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
700,Ruby Community Library,P. O. BOX 90,Ruby,99768,0090,9074684432,210,1,0,0,0,0.35,0,0.35,7860,6168,0,0,14028,,,,2609,,14029,0,3437,32,38,31,624,639,9,531,0,7,403,83,NO,CI,SO,-1,Y,-1,-1,0,N,N,,210,AK0060,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
720,St. Paul Comm/School Library,P.O. BOX 901,St. Paul,99660,0901,9075462221,767,1,0,0,0,0.25,0,0.25,5000,7862,0,0,12862,,,,2572,,12862,0,11538,1189,700,100,480,2245,250,8230,25,30,2732,1145,NO,SP,SO,-1,Y,-1,-1,0,N,Y,PE,767,AK0061,AK,02,96,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0,10, 0
750,Seldovia Public Library,P. O. BOX D,Seldovia,99663,0189,9072347856,822,1,0,0,0,0,0,0,0,5000,0,786,5786,,,,5335,,6796,0,10840,189,435,22,675,3460,150,6575,0,20,1525,85,NO,NP,SO,-1,N,-1,-1,0,N,N,,822,AK0064,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
760,Seward Community Library,P. O. Box 537,Seward,99664,0357,9072243646,6888,1,0,0,1,1,2.8,3.8,190596,14862,3774,7072,216304,109060,39585,148645,25613,37867,212125,0,25232,1020,673,57,2392,47109,3120,51902,54,1472,20524,1598,NO,CI,SO,-1,Y,1645,348,5,Y,Y,PE,6888,AK0065,AK,02,96,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
