LIBID,LIBNAME,ADDRESS,CITY,ZIP1,ZIP2,PHONE,POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,C_RELATN,C_LEGBASE,C_ADMIN,CNTY,POPU_UNDUP,FSCSKEY,STABR,PUB_FIPS,YR,OBEREG,RSTATUS,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,FILLER,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32
230,Delta Community Library,P. O. Box 229,Delta Junction,99737,0229,9078954102,757,1,0,0,0,0.75,0.25,1,32404,8615,0,0,41019,,,,3937,,41019,0,12094,0,257,25,1976,15166,1872,22356,38,353,6477,720,NO,CI,SO,-1,757,AK0019,AK,02,94,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0,10, 0, 0
240,Dillingham Public Library,P. O. Box 870,Dillingham,99576,0870,9078425610,2095,1,0,0,0,1,0.75,1.75,89970,8615,0,500,99085,,,,17007,,87530,0,17072,1052,530,116,1890,10423,1316,6208,6,0,2714,1100,NO,CI,SO,-1,2095,AK0020,AK,02,94,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 5, 0, 0, 0, 8, 0, 0
250,Eagle Public Library,P. O. Box 45,Eagle City,99738,0045,9075472230,166,1,0,0,0,0,0,0,500,11413,4000,1469,17382,,,,5638,,17074,0,9263,0,793,2,895,3000,600,5192,0,183,1504,114,NO,NP,SO,-1,166,AK0021,AK,02,94,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0,10, 0, 0
260,Elim Community Library,P. O. Box 39050,Elim,99739,0050,9078903501,290,1,0,0,0,0.25,0.25,0.5,5000,8615,0,0,13615,,,,1943,,13586,0,6605,167,58,10,480,1746,12,1784,0,0,983,160,NO,CI,SO,-1,290,AK0022,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
270,Fairbanks North Star Boroug,1215 Cowles Street,Fairbanks,99701,4394,9074591020,106572,1,1,0,8.5,10.25,25.63,35.88,2168774,195474,35000,86950,2486198,1376540,453089,1829629,272597,272245,2374471,0,217898,8027,2678,593,5152,220468,66207,607585,2665,2479,191025,20439,NO,MJ,MO,-1,106572,AK0023,AK,02,94,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0,10, 0, 0
290,Charles Evans Community Library,P. O. Box 149,Galena,99741,0149,9076561869,821,1,0,0,0,0.25,0,0.25,1022,5578,4002,0,10602,,,,2227,,9327,0,7600,0,7,0,480,539,40,661,0,14,225,0,NO,SP,SO,-1,821,AK0025,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
310,Copper Valley Community Library,P. O. Box 173,Glennallen,99588,0173,9078225226,451,1,0,1,0,0.5,0.13,0.63,10850,8615,0,16662,36127,,,,8513,,38377,0,14700,99,435,36,1524,11760,780,17398,0,156,1924,166,NO,NP,MO,-1,451,AK0027,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
320,Gustavus Public Library,P. O. Box 279,Gustavus,99826,0279,9076972350,258,1,0,0,0,0,0,0,5100,8615,0,2500,16215,,,,4456,,13643,0,5300,40,52,40,915,2801,220,4085,0,285,2389,356,NO,NP,SO,-1,258,AK0028,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
330,Haines Borough Public Library,P. O. Box 1089,Haines,99827,1089,9077662545,2267,1,0,0,0,1.5,0.85,2.35,127127,8615,0,9028,144770,78616,17438,96054,22305,21445,139804,3675,15210,707,442,77,2496,44096,4745,42074,386,1618,13647,1695,NO,CO,SO,-1,2267,AK0029,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
340,Tri-Valley Community Library,P. O. Box 400,Healy,99743,0400,9076832507,835,1,0,0,0,1.5,0,1.5,5960,6808,0,7564,20332,,,,5007,,17841,0,18076,439,318,57,2400,3900,430,13161,40,278,7885,474,NO,SP,SO,-1,835,AK0030,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
350,Hollis Public Library,P.O. Box 5,Hollis,99950,0070,9075307112,130,1,0,0,0,1,0,1,4500,8615,0,1898,15013,,,,8035,,15013,0,11000,320,22,5,1100,5100,1700,10595,0,16,5280,460,NO,NP,SO,-1,130,AK0031,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
360,Homer Public Library,141 W. Pioneer Avenue,Homer,99603,7523,9072353180,9451,1,0,0,1,1,2.5,3.5,194555,8615,0,0,203170,110575,36830,147405,22414,32851,202670,0,26776,232,469,112,2288,60969,5935,75507,285,796,21877,424,NO,CI,SO,-1,9451,AK0032,AK,02,94,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 5, 0, 0, 0,10, 0, 0
380,Hope Community Library,P. O. Box 127,Hope,99605,0127,9077823121,335,1,0,0,0,0.25,0,0.25,0,5976,0,1780,7756,,,,1095,,7756,0,4132,12,6,14,520,1420,40,1178,0,15,223,18,NO,NP,SO,-1,335,AK0033,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
390,Hyder Public Library,P. O. Box 50,Hyder,99923,0050,9076362498,90,1,0,0,0,0.25,0,0.25,5000,8615,0,0,13615,,,,4900,,13614,0,5158,16,119,16,750,960,310,4444,0,4,2052,36,NO,NP,SO,-1,90,AK0034,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
400,Juneau Public Libraries,292 Marine Way,Juneau,99801,1361,9075865324,37142,1,2,0,2.81,5.16,13.3,18.46,1232703,119745,0,0,1352448,552800,299463,852263,111931,388254,1352448,0,135750,2464,2343,318,7000,374174,24066,284286,6665,7024,119012,8540,NO,CO,MO,-1,37142,AK0035,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
410,Kake Community Library,P. O. Box 450,Kake,99830,0450,9077853731,712,1,0,0,0,0,0.38,0.38,4763,8615,0,0,13378,,,,8115,,13378,0,8200,180,33,35,750,537,16,771,0,333,303,88,NO,CI,SO,-1,712,AK0036,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
420,Kasilof Public Library,P. O. Box 176,Kasilof,99610,0176,9072624844,1485,1,0,0,0,1,0,1,0,5000,0,0,5000,,,,985,,5000,0,11979,275,146,1,2000,9000,200,13656,1,3,3957,0,NO,SC,SO,-1,1485,AK0037,AK,02,94,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0,10, 0, 0
430,Kenai Community Library,163 Main Street Loop,Kenai,99611,7723,9072834378,12819,1,0,0,0,1,3,4,273896,22115,3182,0,299193,131837,24325,156162,46690,96341,299193,0,57624,1337,568,358,3276,87331,25000,91842,743,724,33895,3244,NO,CI,SO,-1,12819,AK0038,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
450,Ketchikan Public Library,629 Dock Street,Ketchikan,99901,6589,9072253331,14664,1,0,0,3,3.6,7.95,11.55,628175,12205,0,15650,656030,344981,144946,489927,83637,82466,656030,0,48260,1465,1005,157,2912,290730,8926,140605,762,1014,50476,6130,NO,CI,SO,-1,14664,AK0039,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
470,A. Holmes Johnson Mem Library,319 Lower Mill Bay Rd,Kodiak,99615,7341,9074868686,14745,1,0,0,1,1,6.76,7.76,486009,8615,0,0,494624,277490,97782,375272,52048,67304,494624,0,49373,4179,672,274,3318,122010,3800,86294,245,354,26697,600,NO,CI,SO,-1,14745,AK0040,AK,02,94,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 8, 0, 0
480,Chukchi Library,P. O. Box 297,Kotzebue,99752,0297,9074422410,3589,1,1,0,1.25,1.25,1,2.25,122002,17230,4290,0,143522,79254,15689,94943,33369,15211,143523,0,14045,0,685,112,3030,9900,1720,19000,230,486,5505,1130,NO,MJ,MO,-1,3589,AK0041,AK,02,94,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0,10, 0, 0
500,Koyukuk Community Library,P. O. Box 29,Koyukuk,99754,0029,9079272245,129,1,0,0,0,0.38,0,0.38,7086,8615,0,0,15701,,,,2395,,15700,0,1968,24,82,21,780,1028,0,1178,0,0,433,5,NO,CI,SO,-1,129,AK0042,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
530,Mcgrath Community Library,P. O. Box 249,Mcgrath,99627,0249,9075243843,533,1,0,0,0,0.26,0.05,0.31,0,8615,0,7635,16250,,,,4735,,16250,0,8145,42,31,29,803,2756,10,2529,0,87,1537,999,NO,NP,SO,-1,533,AK0044,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
550,Metlakatla Centennial Library,P. O. Box 8,Metlakatla,99926,0008,9078864441,1494,1,0,0,0,0.5,0,0.5,8688,8615,0,0,17303,,,,2089,,17303,0,4210,0,113,13,-1,2479,938,247,0,0,67,119,NO,CI,SO,-1,1494,AK0046,AK,02,94,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 1, 5, 1,, 1, 5, 1, 0, 0, 8,10, 0
560,Martin Monsen Library,P. O. Box 147,Naknek,99633,0147,9072464465,1482,1,2,0,0,1,1.33,2.33,153195,25845,0,0,179040,96112,19691,115803,19805,36898,172506,7113,19061,73,418,27,9984,7896,600,9666,0,374,5511,410,NO,CO,MO,-1,1482,AK0047,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
570,Nenana Public Library,P. O. Box 40,Nenana,99760,0040,9078325812,508,1,0,0,0,0.7,0.18,0.88,19410,8168,5300,1500,34378,,,,5636,,27278,3420,8730,303,313,28,1456,4000,100,3793,1,84,1284,137,NO,CI,SO,-1,508,AK0048,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
600,Ninilchik Community Library,P. O. Box 39165,Ninilchik,99639,0165,9075673333,1072,1,0,0,0,0.5,0,0.5,0,7531,0,4453,11984,,,,2388,,11985,0,10259,201,162,0,1300,4189,673,9109,0,48,1981,252,NO,NP,SO,-1,1072,AK0051,AK,02,94,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 7, 5, 0, 0, 0, 0, 0, 0
610,Kegoayah Kozga Library,P. O. Box 1168,Nome,99762,1168,9074435133,4184,1,0,0,0,0.81,2.12,2.93,144308,53865,0,0,198173,97655,28629,126284,25230,40907,192421,0,15290,925,88,87,2112,17316,3600,14430,139,551,7146,1392,NO,CI,SO,-1,4184,AK0052,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
620,Northway Community Library,P. O. Box 496,Northway,99764,0496,9077782288,349,1,0,0,0,0.25,0,0.25,0,5434,4002,2345,11781,,,,1586,,7889,0,1150,323,317,21,480,858,15,952,0,18,444,280,NO,NP,SO,-1,349,AK0053,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
640,Palmer Public Library,655 S. Valley Way,Palmer,99645,6697,9077454690,13635,1,0,0,2,2,2,4,283103,18615,0,0,301718,126031,52578,178609,39445,83664,301718,0,34857,85,383,100,2300,41524,10348,87060,2827,750,34486,1899,NO,CI,SO,-1,13635,AK0055,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
650,Pelican Public Library,P. O. Box 741,Pelican,99832,0741,9077352500,228,1,0,0,0,0.4,0.1,0.5,12894,8615,0,123,21632,,,,5168,,21542,0,8860,650,233,70,520,1400,200,3695,0,89,1071,300,NO,CI,SO,-1,228,AK0056,AK,02,94,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0,10, 0, 0
660,Petersburg Public Library,P. O. Box 549,Petersburg,99833,0549,9077723349,3228,1,0,0,1,1,1.5,2.5,103752,8615,267,7116,119750,69380,15531,84911,23107,11466,119484,0,23339,357,555,91,2200,27500,2000,33891,280,315,11226,782,NO,CI,SO,-1,3228,AK0057,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
680,Jessie Wakefield Memorial Library,P. O. Box 49,Port Lions,99550,0049,9074542288,259,1,0,0,0,0.15,0.15,0.3,3100,8109,0,2459,13668,,,,2412,,13093,0,7510,54,128,29,1060,2678,244,5918,0,15,2227,361,NO,CI,SO,-1,259,AK0058,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
700,Ruby Community Library,P. O. Box 90,Ruby,99768,0090,9074684426,207,1,0,0,0,0.3,0,0.3,800,5800,3750,0,10350,,,,1271,,10782,0,3281,32,22,20,576,492,7,294,0,0,167,144,NO,CI,SO,-1,207,AK0060,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
720,St. Paul Comm/School Library,P.O. Box 901,St. Paul,99660,0001,9075462221,763,1,0,0,0,0.25,0,0.25,2530,8615,0,2494,13639,,,,6358,,13639,0,5195,0,640,12,960,200,100,6620,0,0,1918,35,NO,SP,SO,-1,763,AK0061,AK,02,94,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0,10, 0, 0
750,Seldovia Public Library,P.O. Box D,Seldovia,99663,0189,9072347856,560,1,0,0,0,0,0,0,0,5000,0,786,5786,,,,5419,,5692,0,10395,312,247,35,700,1919,175,3964,0,25,793,0,NO,NP,SO,-1,560,AK0064,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
760,Seward Community Library,P. O. Box 537,Seward,99664,1754,9072243646,5696,1,0,0,1,1,2.8,3.8,186614,11357,0,0,197971,85543,34095,119638,19844,49076,188558,0,25000,618,539,77,2392,41600,2600,44273,200,1190,13188,592,NO,CI,SO,-1,5696,AK0065,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
770,Nellie Weyiouanna Ilisaavik,P.O. Box 51,Shishmaref,99772,0051,9076493011,533,1,0,0,0,0.4,0,0.4,6957,8615,0,0,15572,,,,2002,,15572,0,3300,30,0,27,480,300,10,689,3,3,374,25,NO,CI,SO,-1,533,AK0066,AK,02,94,08,1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,99,99,99, 0,99, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0, 0
780,Kettleson Memorial Library,320 Harbor Dr,Sitka,99835,7570,9077478708,9100,1,0,0,1.7,1.7,3.9,5.6,370879,10615,0,29730,411224,167035,85775,252810,53068,103033,408911,2311,42106,2218,946,150,3120,99372,11804,131280,700,1060,38036,3216,NO,CO,SO,-1,9100,AK0067,AK,02,94,08,2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0,10, 0, 0
